industry_label,labor_subsidy,employment,naics_2d
Retail Trade,22.1,15624,44
Accommodation and Food Services,17.7,13930,72
"Arts, Entertainment, and Recreation",15.1,2462,71
Other Services (except Public Administration),14.5,5919,81
Educational Services,13.8,3823,61
Finance and Insurance,13.6,6498,52
Real Estate Rental and Leasing,12.9,2355,53
Health Care and Social Assistance,11.5,7623,62
Administrative and Support and Waste Management and Remediation Services,11.3,9339,56
Management of Companies and Enterprises,10.4,2456,55
Information,9.300000000000001,2899,51
Mining,9,654,21
"Professional, Scientific, and Technical Services",8.6,9712,54
Utilities,8.6,548,22
Wholesale Trade,7.7,5937,42
Construction,6.800000000000001,7605,23
Transportation and Warehousing,5.9,5515,48
Manufacturing,4.5,12838,31
"Agriculture, Forestry, Fishing and Hunting",2.6,54,11
Average,12.21219179383545,115791,
