SOCCode,Description,teleworkable
11-1011,Chief executives,1
11-1021,General and operations managers,1
11-2011,Advertising and promotions managers,1
11-2021,Marketing managers,1
11-2022,Sales managers,1
11-2031,Public relations and fundraising managers,1
11-3011,Administrative services managers,1
11-3021,Computer and information systems managers,1
11-3031,Financial managers,1
11-3051,Industrial production managers,0
11-3061,Purchasing managers,1
11-3071,"Transportation, storage, and distribution managers",0
11-3111,Compensation and benefits managers,0
11-3121,Human resources managers,1
11-3131,Training and development managers,1
11-9013,"Farmers, ranchers, and other agricultural managers",0
11-9021,Construction managers,0
11-9031,"Education administrators, preschool and childcare center/program",0
11-9032,"Education administrators, elementary and secondary school",1
11-9033,"Education administrators, postsecondary",1
11-9039,"Education administrators, all other",1
11-9041,Architectural and engineering managers,1
11-9051,Food service managers,0
11-9061,Funeral service managers,0
11-9071,Gaming managers,0
11-9081,Lodging managers,0
11-9111,Medical and health services managers,1
11-9121,Natural sciences managers,1
11-9131,Postmasters and mail superintendents,1
11-9141,"Property, real estate, and community association managers",1
11-9151,Social and community service managers,0
11-9161,Emergency management directors,0
11-9199,"Managers, all other",1
13-1011,"Agents and business managers of artists, performers, and athletes",1
13-1020,Buyers and purchasing agents,1
13-1031,"Claims adjusters, examiners, and investigators",1
13-1032,"Insurance appraisers, auto damage",0
13-1041,Compliance officers,0
13-1051,Cost estimators,0
13-1071,Human resources specialists,1
13-1074,Farm labor contractors,1
13-1075,Labor relations specialists,0
13-1081,Logisticians,1
13-1111,Management analysts,1
13-1121,"Meeting, convention, and event planners",0
13-1131,Fundraisers,0
13-1141,"Compensation, benefits, and job analysis specialists",1
13-1151,Training and development specialists,1
13-1161,Market research analysts and marketing specialists,1
13-1199,"Business operations specialists, all other",1
13-2011,Accountants and auditors,1
13-2021,Appraisers and assessors of real estate,1
13-2031,Budget analysts,1
13-2041,Credit analysts,1
13-2051,Financial analysts,1
13-2052,Personal financial advisors,1
13-2053,Insurance underwriters,1
13-2061,Financial examiners,1
13-2071,Credit counselors,1
13-2072,Loan officers,0
13-2081,"Tax examiners and collectors, and revenue agents",0
13-2082,Tax preparers,0
13-2099,"Financial specialists, all other",1
15-1111,Computer and information research scientists,1
15-1121,Computer systems analysts,1
15-1122,Information security analysts,1
15-1131,Computer programmers,1
15-1132,"Software developers, applications",1
15-1133,"Software developers, systems software",1
15-1134,Web developers,1
15-1141,Database administrators,1
15-1142,Network and computer systems administrators,1
15-1143,Computer network architects,1
15-1151,Computer user support specialists,1
15-1152,Computer network support specialists,1
15-1199,"Computer occupations, all other",1
15-2011,Actuaries,1
