industry_code,cbp_employment,population_density,employment_density,plant_size
23,6934230,1104.5,1129.9,14.8
42,6875621,1468.1,3634.5,32.5
55,1806599,2432.8,13266.4,77.60000000000001
113,22628,32,14.8,6.300000000000001
114,4593,657,568.2,2.9
115,18308,203.7,125.8,6.800000000000001
211,33733,1271.8,6543.5,17.4
212,24590,112.3,60.2,26.7
213,156556,289.7,675.9000000000001,25.1
221,85801,892.3000000000001,3532.5,24.9
311,254856,2040.2,1854.5,43.7
312,57990,588.2,698.5,21.4
313,21183,968.4000000000001,3743.2,62.7
315,35159,5632.6,25047.4,13.3
321,81535,465.1,307.5,24.3
322,117010,930.8000000000001,933.4000000000001,99
323,139061,1546.1,2697.1,16.1
324,2341,934.6,543.3000000000001,8.700000000000001
325,126560,913.4000000000001,910,37.5
326,402429,817.8000000000001,577.7,68.90000000000001
327,90202,707.9000000000001,496,16.9
331,64072,943.9000000000001,1377.1,89.10000000000001
332,722685,952.1,676.9000000000001,22
333,225700,762.1,676.5,30.2
334,233320,1201,1710.6,66.7
335,263054,1212.3,1137.9,173.6
336,229387,687.9000000000001,558,74.40000000000001
337,61254,1295.4,980.4000000000001,35.4
339,149449,1971.6,5356.200000000001,18.2
441,1838757,886.7,611.9,24.6
442,6114649,1585.3,2357.7,11.7
445,2247910,2082.7,1719.9,23.1
452,1022317,1041.9,842.3000000000001,49.40000000000001
481,93423,967.8000000000001,2294.4,203.3
483,5512,1392.1,3455.4,11.3
484,946783,829.4000000000001,540.8000000000001,15.3
485,91381,3691.7,2651.7,47
486,9252,600,2731.9,11.4
487,364818,1325.2,1920.6,18.6
492,68145,1492.8,4118.8,48.3
493,248627,873.9000000000001,859,44.8
511,525255,3880,21898.8,85.80000000000001
512,135789,6102.700000000001,18390.1,18.6
515,73350,5572.5,37448.8,66.40000000000001
517,486422,1699.6,5207.1,23.2
518,202751,3559.9,20635.6,30.1
519,118015,6367.5,35876.2,87.90000000000001
521,2132207,1867.4,10137.1,28.8
523,817077,5270.700000000001,48097.9,23.1
524,1624972,1886.5,8997.9,26.1
531,1684981,3050.1,8069.900000000001,6.300000000000001
532,368228,1263.1,2131,10.6
533,1641,3106.5,11716,3.1
541,8850034,2488.1,12506.2,15.6
561,6557482,1667.1,5724.400000000001,27.5
562,100010,960,805.4000000000001,11.7
611,1345301,3636.1,5678.5,27.6
621,7181119,1711,1896.9,14.3
622,1663730,2125.3,2640.5,1210.9
623,2115793,1304.6,772.4000000000001,37.6
624,2586916,2394,2835.6,19.8
711,237488,6740.3,19906.7,17.8
712,16064,4846.5,8232,22.4
713,790389,1664.2,2828.3,20.5
721,1206392,2091.4,7359.5,103.5
722,13268098,1835.6,3241.2,22.9
811,1230707,1179.3,902.3000000000001,6.800000000000001
812,1450687,2411.5,3850.5,7.2
813,2425689,2449.3,7375.700000000001,10.7
