ces_industry,industry_code,industry_name
10211000,211,Oil and gas extraction
10212000,212,"Mining, except oil and gas"
10213000,213,Support activities for mining
20236000,236,Construction of buildings
20237000,237,Heavy and civil engineering construction
20238000,238,Specialty trade contractors
31321000,321,Wood products
31327000,327,Nonmetallic mineral products
31331000,331,Primary metals
31332000,332,Fabricated metal products
31333000,333,Machinery
31334000,334,Computer and electronic products
31335000,335,Electrical equipment and appliances
31336000,336,Transportation equipment
31337000,337,Furniture and related products
31339000,339,Miscellaneous durable goods manufacturing
32311000,311,Food manufacturing
32313000,313,Textile mills
32314000,314,Textile product mills
32315000,315,Apparel
32322000,322,Paper and paper products
32323000,323,Printing and related support activities
32324000,324,Petroleum and coal products
32325000,325,Chemicals
32326000,326,Plastics and rubber products
32329000,312,Miscellaneous nondurable goods manufacturing
41423000,423,Durable goods
41424000,424,Nondurable goods
41425000,425,Electronic markets and agents and brokers
42441000,441,Motor vehicle and parts dealers
42442000,442,Furniture and home furnishings stores
42443000,443,Electronics and appliance stores
42444000,444,Building material and garden supply stores
42445000,445,Food and beverage stores
42446000,446,Health and personal care stores
42447000,447,Gasoline stations
42448000,448,Clothing and clothing accessories stores
42451000,451,"Sporting goods, hobby, book, and music stores"
42452000,452,General merchandise stores
42453000,453,Miscellaneous store retailers
42454000,454,Nonstore retailers
43481000,481,Air transportation
43482000,482,Rail transportation
43483000,483,Water transportation
43484000,484,Truck transportation
43485000,485,Transit and ground passenger transportation
43486000,486,Pipeline transportation
43487000,487,Scenic and sightseeing transportation
43488000,488,Support activities for transportation
43492000,492,Couriers and messengers
43493000,493,Warehousing and storage
44220000,22,Utilities
50511000,511,"Publishing industries, except Internet"
50512000,512,Motion picture and sound recording industries
50515000,515,"Broadcasting, except Internet"
50517000,517,Telecommunications
50518000,518,"Data processing, hosting and related services"
50519000,519,Other information services
55521000,521,Monetary authorities - central bank
55522000,522,Credit intermediation and related activities
55523000,523,"Securities, commodity contracts, investments, and funds and trusts"
55524000,524,Insurance carriers and related activities
55531000,531,Real estate
55532000,532,Rental and leasing services
55533000,533,Lessors of nonfinancial intangible assets
60561000,561,Administrative and support services
60562000,562,Waste management and remediation services
65621000,621,Ambulatory health care services
65622000,622,Hospitals
65623000,623,Nursing and residential care facilities
65624000,624,Social assistance
70711000,711,Performing arts and spectator sports
70712000,712,"Museums, historical sites, and similar institutions"
70713000,713,"Amusements, gambling, and recreation"
70721000,721,Accommodation
70722000,722,Food services and drinking places
80811000,811,Repair and maintenance
80812000,812,Personal and laundry services
80813000,813,Membership associations and organizations
90911000,911,"Federal, except U.S. Postal Service"
90919120,919,U.S. Postal Service
90921611,921,State government education
90922000,922,"State government, excluding education"
90931611,931,Local government education
90932000,932,"Local government, excluding education"
60540000,54,Professional and technical services
60550000,55,Management of companies and enterprises
65610000,61,Educational services
10113300,113,Logging
