zip_code,latitude,longitude,population_density,employment_density,plant_size,employment,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
01001,42.070202,-72.622704,566,336,13.4,5595,23,28,9,38,46,21
01002,42.3671,-72.4646,204,55,9.8000002,4802,27,38,3,49,52,26
01003,42.391899,-72.524803,5630,178,7.0999999,64,38,39,2,54,56,21
01004,42.384499,-72.513199,,,6.3000002,19,,,,,,
01005,42.409698,-72.108398,44,11,6.0999999,383,24,35,8,45,53,28
01007,42.275101,-72.411003,107,19,7.5999999,1371,21,30,8,39,46,22
01008,42.182899,-72.936096,9,2,7.1999998,86,13,41,7,46,52,41
01009,42.2061,-72.3405,359,94,6.5,26,25,28,5,36,40,23
01010,42.116501,-72.188499,40,5,4.6999998,280,27,22,13,39,50,20
01011,42.2794,-72.9888,17,1,2.7,8,21,4,34,22,48,12
01012,42.3923,-72.8256,19,3,11,33,13,22,1,24,25,11
01013,42.148701,-72.607903,1592,361,8.6999998,2468,21,30,8,39,47,23
01020,42.176399,-72.576103,918,310,11.9,6040,20,35,11,45,55,29
01022,42.193401,-72.554398,199,224,13.2,566,17,10,13,20,32,7
01026,42.463299,-72.920197,15,2,2.7,16,35,36,3,49,52,21
01027,42.2668,-72.668999,168,43,8.3999996,3127,22,28,9,39,47,22
01028,42.0672,-72.5056,467,280,9,3958,23,29,7,40,47,21
01029,42.190899,-73.051697,19,5,18.299999,55,8,52,0,53,54,51
01030,42.0718,-72.675102,380,44,6.4000001,1101,24,31,11,43,53,24
01031,42.332199,-72.198601,62,7,6.5,65,31,36,5,44,49,15
01032,42.440399,-72.7995,19,6,4.4000001,31,28,9,25,31,50,12
01033,42.255699,-72.519997,86,14,6.5,610,24,28,11,42,51,25
01034,42.112701,-72.952003,11,1,6,84,23,17,21,32,48,19
01035,42.3606,-72.571503,88,100,11.9,3167,20,43,4,51,55,36
01036,42.0648,-72.431801,101,25,7,652,21,27,12,38,48,24
01037,42.3479,-72.225304,24,6,7.8000002,39,21,4,34,22,48,12
01038,42.384399,-72.616699,98,55,7.5,317,18,18,18,29,46,16
01039,42.381802,-72.703201,39,11,8.1999998,188,23,31,10,44,52,28
01040,42.202,-72.626198,724,335,15,11580,22,33,6,41,47,24
01041,42.2043,-72.616203,,,48.5,631,,,,,,
01050,42.265301,-72.873299,25,2,8.1999998,139,12,46,9,50,59,45
01053,42.354301,-72.7034,127,42,11,33,13,22,1,24,25,11
01054,42.468201,-72.499298,31,3,4.8000002,126,33,25,9,42,50,18
01056,42.172798,-72.471001,300,74,8.8999996,3168,23,25,17,38,52,21
01057,42.101002,-72.319603,73,8,6.4000001,630,23,24,14,38,50,19
01059,42.4104,-72.530899,,,9.6999998,29,,,,,,
01060,42.3223,-72.631302,541,480,12.4,8051,24,37,5,47,52,29
01061,42.369598,-72.636002,,,5.4000001,43,,,,,,
01062,42.321899,-72.692802,237,44,7.3000002,1030,28,30,7,42,48,19
01066,42.411201,-72.622299,35,25,4.3000002,13,24,18,33,36,67,15
01068,42.348,-72.0513,35,2,3.7,71,28,9,19,31,45,13
01069,42.176201,-72.328796,117,53,8.6000004,1824,18,20,18,31,48,18
01071,42.147099,-72.840302,40,4,2.5999999,26,33,17,12,39,49,14
01072,42.481998,-72.421303,28,2,3.3,30,34,13,17,38,52,13
01073,42.224701,-72.719398,79,19,7.6999998,756,21,28,11,39,48,25
01075,42.237499,-72.5811,382,77,7.3000002,1944,22,32,8,43,50,24
01077,42.051102,-72.770599,119,31,8.1999998,1515,19,38,9,46,54,33
01079,42.192902,-72.329597,237,45,3.3,10,32,6,7,33,39,12
01080,42.1819,-72.362396,522,102,6.6999998,128,29,32,7,49,55,26
01081,42.062698,-72.204597,45,4,5,15,21,4,34,22,48,12
01082,42.261799,-72.258301,86,18,7.5999999,911,21,38,11,47,58,30
01083,42.203999,-72.199402,71,8,7.0999999,141,24,34,8,47,55,29
01085,42.125099,-72.749496,265,97,12.5,9869,19,24,11,34,44,19
01086,42.173401,-72.848,7145,2267,2.7,8,14,5,11,15,26,6
01088,42.390598,-72.646896,50,27,8.3999996,118,18,42,9,51,59,41
01089,42.115101,-72.641098,656,444,16.200001,14264,20,30,10,39,48,24
01090,42.1707,-72.604797,,,4,24,,,,,,
01092,42.2029,-72.228996,80,6,5,15,21,4,34,22,48,12
01093,42.442699,-72.652496,25,25,5.6999998,34,23,18,17,30,43,18
01095,42.1245,-72.446404,244,85,7.8000002,1950,26,33,7,45,51,24
01096,42.408501,-72.778,27,5,7.6999998,170,16,11,14,23,35,11
01101,42.101501,-72.589798,,,5,20,,,,,,
01102,42.1707,-72.604797,,,15.8,63,,,,,,
01103,42.102901,-72.588699,2080,6235,9.3999996,3530,30,31,3,47,50,20
01104,42.128799,-72.577797,1693,1170,15.6,6580,21,28,12,38,49,20
