industry_code,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
113,5,4,23,8,30,2
114,6,9,7,13,19,7
115,17,11,14,25,38,17
211,47,10,15,48,55,13
212,18,5,61,18,76,8
213,39,6,41,40,61,26
221,31,17,29,36,59,14
236,32,6,7,33,39,12
237,28,10,36,28,58,13
238,21,4,34,22,48,12
311,11,8,11,16,26,9
312,14,22,11,31,41,21
313,12,5,10,14,22,7
314,11,6,6,13,19,7
315,12,7,2,16,18,7
321,11,4,14,12,24,6
322,13,6,16,15,30,6
323,14,10,3,20,22,10
324,28,7,19,28,45,8
325,25,8,9,27,35,7
326,14,5,10,15,25,6
327,13,5,29,15,44,5
331,14,5,24,15,38,6
332,14,5,11,15,26,6
333,17,6,10,19,28,6
334,25,7,3,27,31,8
335,17,6,7,19,25,6
336,15,3,11,16,26,5
337,12,5,4,14,18,6
339,18,9,4,22,26,7
423,21,17,13,29,41,10
424,17,14,11,24,35,7
425,20,17,5,28,33,9
441,14,46,23,48,69,37
442,15,63,2,67,69,59
443,16,58,9,60,68,51
444,13,63,4,66,71,60
445,11,61,0,63,64,59
446,30,90,0,91,91,69
447,13,83,3,83,86,81
448,15,90,0,91,91,88
451,13,83,1,84,85,80
452,12,74,1,74,75,71
453,14,68,3,70,73,64
454,21,27,8,41,47,22
481,9,46,11,53,63,44
482,19,9,39,23,59,6
483,12,8,63,16,80,5
484,11,4,66,12,78,1
485,14,5,5,17,21,8
486,29,7,27,29,54,5
487,10,34,23,39,63,30
488,18,13,28,25,52,8
492,17,5,12,20,31,2
493,11,5,24,14,38,3
511,46,15,0,53,54,24
512,26,44,0,48,49,38
515,31,31,4,53,56,4
517,24,18,33,36,67,15
518,45,17,1,54,55,23
519,45,22,0,58,58,21
521,27,46,0,66,67,11
523,42,27,0,47,47,6
524,26,25,0,42,42,16
531,34,31,22,49,68,12
532,17,38,17,44,60,32
533,50,26,0,55,56,6
541,46,21,1,54,55,13
551,50,24,2,58,60,11
561,25,28,5,36,40,23
562,16,7,43,18,60,4
611,40,35,1,45,46,6
621,30,70,2,74,74,40
622,50,66,2,70,71,22
623,28,40,2,42,44,24
624,13,22,1,24,25,11
711,28,28,3,41,43,23
712,28,51,4,61,64,35
713,16,43,2,49,51,39
721,21,37,5,43,47,31
722,8,52,0,53,54,51
811,13,13,48,19,62,6
812,12,51,1,54,55,42
813,44,43,1,62,63,20
