ces_industry,employment,growth
00000000,152463,-14.469085
05000000,129718,-16.250635
06000000,21205,-11.751945
07000000,131258,-14.908044
08000000,108513,-17.129745
10000000,714,-8.6834736
10113300,54.5,-8.8073378
10210000,659.70001,-8.7160826
10211000,156.60001,-1.7241457
10212000,188.60001,-6.0975609
10212100,50.400002,-17.460323
10212111,22.6,-11.061947
10212113,27.700001,-22.021662
10212200,40.799999,.24510366
10212300,97.400002,-2.8747463
10212310,43.200001,-5.3240724
10212312,23.799999,-4.2016807
10212319,19.5,-4.6153827
10212320,42.099998,-2.8503492
10212321,30.5,.98360407
10212390,12.4,-3.2258034
10213000,314.5,-13.767881
10213112,250,-14
20000000,7639,-13.876162
20236000,1689.1,-13.47463
20236100,841.29999,-14.786635
20236115,375.70001,-11.338836
20236116,40.099998,-8.9775524
20236117,42.099998,1.4251837
20236118,383.70001,-20.615065
20236200,847.79999,-12.172684
20236210,162.7,-19.053473
20236220,685.09998,-10.538601
20237000,1098.9,-9.5914116
20237100,567.79999,-10.285311
20237110,199.8,-6.0560589
20237120,154,-20.454546
20237130,213.10001,-6.6166148
20237200,38.299999,-7.8328981
20237300,375,-11.946664
20237900,121.3,-7.1723037
20238000,4850.7002,-14.979282
20238001,2124.7,-15.103305
20238002,2726,-14.88261
20238100,972,-18.837446
20238110,250.39999,-15.015971
20238120,91.099998,-23.271128
20238130,87,-17.241379
20238140,153.3,-23.352905
20238150,75.099998,-22.237013
20238160,227.3,-15.750112
20238170,39.5,-14.683542
20238190,46.599998,-14.163087
20238200,2308.7,-12.812403
20238210,985.70001,-12.661052
20238220,1173.1,-12.820728
20238290,152.8,-13.808905
20238300,854.09998,-18.897081
20238310,262.39999,-20.731705
20238320,216.8,-19.049816
20238330,82.400002,-15.29126
20238340,60.5,-12.892561
20238350,151.2,-20.701056
20238390,82.699997,-22.249086
20238900,712.5,-12.856137
20238910,358.29999,-11.610376
20238990,354.5,-13.65303
30000000,12852,-10.65982
31000000,8058,-11.590965
31321000,410.60001,-9.0599155
31321100,92.900002,-5.9203444
31321200,84.199997,-5.5819445
31321900,233.60001,-11.643841
31321910,103.1,-13.385058
31321911,55.299999,-8.1374321
31321918,47.799999,-19.456066
31321920,61.700001,-6.9692044
31321990,69,-13.47826
31327000,425.60001,-11.560153
31327100,40.700001,-15.233417
31327200,84.800003,-16.273588
31327212,26.5,-14.33962
31327215,58.400002,-17.465754
31327300,201.89999,-8.0732975
31327320,103.9,-6.5447574
31327390,98.599998,-10.040569
31327900,98.099998,-13.149849
31331000,372.70001,-8.103035
31331100,83.5,-1.5568899
31331200,54.799999,-8.7591228
31331300,57.799999,-6.5743933
31331400,61.200001,-2.4509804
31331500,115.9,-16.997416
31331510,61.099998,-18.985268
31331520,55.099998,-15.607984
31332000,1483.9,-7.9924507
31332100,100.3,-9.970089
31332200,34.400002,-9.3023272
31332300,404.60001,-7.5877438
31332310,177.8,-6.1304889
31332312,95.099998,-5.2576237
31332313,82.599998,-7.2639227
31332320,226.8,-8.6860657
31332321,65.599998,-5.7926817
31332322,115.9,-7.4201884
31332323,45.700001,-17.067831
31332400,95.300003,-2.3085041
31332600,67.699997,-14.180205
31332700,358,-9.2737465
31332710,278.20001,-8.9144564
31332720,79.900002,-10.262834
31332721,39.5,-4.3037996
31332722,40.5,-16.543211
31332800,140.3,-9.7647924
31332812,79.400002,-11.209069
31332813,60.900002,-8.0459795
31332900,283.39999,-5.1164432
31332910,89.699997,-2.4526165
31332912,37.400002,-3.7433195
31332919,52.599998,-3.0418222
31332990,193.2,-5.8488631
31332994,45.400002,-2.4229124
31332999,147.8,-7.0365419
31333000,1109.9,-7.9917121
31333100,215,-7.720933
31333110,75.900002,-9.6179218
31333120,69.199997,-2.0231128
31333130,69.599998,-11.350572
31333200,116,-7.3275862
31333300,95.400002,-7.2327061
31333400,137.39999,-8.4424973
31333415,90.699997,-9.8125629
31333500,176.8,-13.178735
31333511,36.599998,-12.841528
31333514,61.099998,-15.711946
31333517,41.299999,-10.411621
31333519,37.799999,-12.169309
31333600,97.699997,-12.998974
31333900,272.5,-3.5963259
31333910,51,-1.3725505
31333920,85.300003,-3.1653042
31333990,136.3,-4.6955314
31334000,1098.2,-1.0289499
31334100,169.3,.53159708
31334200,84.599998,-1.6548482
31334220,49.599998,-2.6209662
31334400,378,-.97883922
31334412,27.9,-3.5842295
31334413,187.60001,.69295722
31334418,61.200001,-3.1045775
31334419,102,-2.5490181
31334500,433.10001,-1.5931641
31334510,76.099998,1.1826564
31334511,138.2,-.50651008
31334513,64.800003,-4.7839541
31334515,36.700001,-2.4523201
31334519,116.7,-1.9708616
31334600,33.200001,-.60241193
31335000,404.5,-4.9196525
31335100,47,-9.7872305
31335200,61.799999,-4.692553
31335300,145.7,-1.9217591
31335311,28.4,-1.4084494
31335314,117.1,-1.7933377
31335900,149.5,-5.9531732
31335910,41.599998,-17.788456
31335930,44.700001,-3.1319945
31335990,63.5,-.62992364
31336000,1742.9,-23.271557
31336001,998.70001,-36.477421
31336100,243.10001,-55.162487
31336111,139.60001,-37.106018
31336200,168,-22.738094
31336211,57.599998,-18.055552
31336214,110.4,-25.27174
31336300,587.70001,-32.448528
31336310,62.5,-35.840004
31336320,63,-25.238098
31336330,32.900002,-29.787235
31336350,79.199997,-37.626259
31336360,78.099998,-13.316263
31336370,84.099998,-48.989296
31336390,188.8,-33.368645
31336400,540.20001,-3.7578652
31336411,245.10001,-1.6727891
31336412,91.199997,-14.802632
31336413,115.7,-2.6793418
31336419,88.099998,.3405256
31336600,142.89999,-14.275714
31336611,99.900002,-1.8018048
31336612,42.799999,-42.990654
31336900,60.799999,-1.4802594
31337000,386.39999,-19.875774
31337100,243.10001,-22.871248
31337110,122.2,-14.484449
31337120,121.1,-31.544176
31337121,57.900002,-47.150261
31337122,28.299999,-15.547702
31337127,35.200001,-18.75
31337200,110.6,-16.094028
31337214,67.800003,-11.061952
31337215,42.599998,-24.178402
31337900,33.299999,-10.51051
31339000,622.90002,-15.379683
31339100,330.70001,-12.27699
31339112,134.60001,-1.708769
31339113,105.7,1.1352929
31339116,47.200001,-46.186443
31339900,292.20001,-18.822729
31339910,21.4,-42.056076
31339920,43.5,-17.47126
31339950,80.900002,-19.530287
31339990,146.39999,-15.437153
32000000,4794,-9.0947018
32311000,1655.4,-6.0347967
32311100,63.700001,.31397295
32311200,60,-3.3333333
32311220,46.700001,-2.7837243
32311230,13.1,-1.5267234
32311300,81.400002,-13.513514
32311350,45.700001,-21.006569
32311400,174,-3.2183943
32311410,93,-4.1935501
32311411,32.799999,-4.5731707
32311412,60.700001,-6.5897856
32311420,80.900002,-2.5957954
32311500,155.7,-4.6242757
32311511,55.900002,-1.9678037
32311600,535.5,-.037350554
32311611,145.2,2.1349905
32311613,141.10001,-.28349337
32311615,248.60001,-1.2067578
32311700,34.900002,-7.449863
32311800,314.89999,-16.798983
32311810,239.89999,-19.841597
32311811,86.099998,-29.84901
32311813,153.8,-14.369314
32311830,75.099998,-7.1904149
32311900,234.10001,-5.9376373
32311910,60,-2.3333359
32311990,174.3,-7.3436618
32313000,106.5,-19.718309
32313200,52.5,-20.380955
32314000,111.3,-22.282122
32314100,49,-23.265308
32314900,62.299999,-21.187803
32314910,25.299999,-19.762846
32314990,37,-22.162165
32315000,105,-39.523811
32315200,80.400002,-43.407963
32315210,31,-51.935486
32315280,49.400002,-38.46154
32315900,24.9,-27.710842
32322000,363.60001,-2.3927426
32322100,95.5,-1.3612597
32322120,63.599998,-1.8867877
32322130,31.700001,.31545261
32322200,268.20001,-2.7964203
32322210,150.10001,-3.0646274
32322211,97.400002,-4.3121195
32322219,52.5,0
32322220,55.700001,-2.5134678
32322290,61.799999,-.97087133
32323000,417.20001,-19.199425
32323117,321.10001,-15.789477
32324000,114.3,-6.9116373
32324110,68.400002,-3.9473751
32324190,45.599998,-11.184208
32325000,851.09998,-2.314646
32325100,153.39999,-1.4993402
32325130,56.900002,-.35149518
32325180,40.599998,-2.7093558
32325190,55.400002,-1.0830365
32325200,94.199997,-4.140121
32325211,59.900002,-5.5091867
32325300,37.299999,.80428749
32325400,308.20001,-.25957763
32325412,212.8,.093983524
32325414,95.599998,-1.8828404
32325500,65.099998,-10.752688
32325600,111.2,-.53956699
32325610,56.799999,1.4084494
32325620,54.900002,-4.3715873
32325900,81.599998,-4.7794137
32326000,746.20001,-10.02412
32326100,608.29999,-10.767714
32326110,98.400002,-.10162447
32326113,39.299999,-2.0356214
32326120,53.599998,-.93283588
32326150,68.699997,-6.2590914
32326160,55.200001,-8.152174
32326190,332.39999,-16.756914
32326200,137.89999,-6.6714993
32326210,58.799999,-.17006543
32326290,78.900002,-11.280103
32329000,323.5,-17.805258
32329100,287.39999,-19.276268
32329110,103.4,.096710324
32329111,79.199997,.7575835
32329140,181.89999,-29.026932
32329900,37.900002,-10.817947
40000000,27830,-11.972692
41420000,5934.2002,-6.6479053
41423000,3221,-6.2278824
41423100,363.20001,-9.2786379
41423110,129.60001,-11.111117
41423120,174.5,-7.4498568
41423200,115.2,-13.107638
41423210,51.599998,-12.015498
41423220,63.900002,-14.397497
41423300,247.3,-4.2054224
41423310,110.9,-5.861136
41423320,65.599998,-3.2012172
41423390,70.400002,.42612985
41423400,696.40002,-4.0924754
41423420,78.599998,-5.2162833
41423430,225.8,-3.1443782
41423450,264,-1.2121258
41423490,127.8,-10.485134
41423500,136.60001,-6.1493478
41423600,358.5,-4.6304064
41423610,180.3,-6.3228002
41423690,178.10001,-2.8635631
41423700,289.5,-4.5595899
41423710,91,-4.945055
41423720,111.9,-4.378911
41423740,86.599998,-4.5034661
41423800,720.5,-5.287991
41423810,94.800003,-3.5864995
41423820,102,-3.5294104
41423830,332,-5.7831364
41423840,99.900002,-3.5035036
41423850,56.099998,-10.160422
41423860,35.299999,-8.215291
41423900,295.20001,-12.804884
41423910,53.599998,-7.8358154
41423930,102.4,-10.156251
41423940,37.5,-22.133331
41423990,101.9,-14.62218
41424000,2180.3999,-7.2738881
41424100,126.2,-6.1014242
41424120,60.900002,-7.2249613
41424130,65.400002,-5.1987791
41424200,240.10001,-2.8738062
41424300,153.89999,-31.513966
41424330,73.800003,-32.113827
41424400,801.5,-7.7105412
41424410,248.8,-7.7974315
41424480,103.1,-7.5654659
41424500,69.5,3.3093569
41424510,40.700001,2.4570024
41424600,148,-2.4999979
41424700,101.1,-2.2749708
41424800,204.2,-3.232121
41424810,112.3,-4.9866481
41424820,92.099998,-1.3029283
41424900,334.10001,-6.6447206
41424910,120.3,-1.2468828
41424920,32.099998,-9.0342607
41424930,49.099998,-18.940935
41424990,132.7,-5.5011272
41425000,532.79999,-6.6253734
41425110,34,-.88235068
41425120,499.10001,-7.0727344
42000000,15672,-15.13017
42441000,2063.7,-18.180935
42441100,1309.4,-21.819155
42441110,1148.3,-22.468
42441120,164.5,-19.574467
42441200,165.60001,-27.596621
42441210,49.599998,-22.37903
42441220,115.7,-29.732061
42441300,588.70001,-7.4401202
42441310,391.70001,-7.2249217
42441320,197.39999,-7.7507539
42442000,470.70001,-46.356491
42442100,220.39999,-39.337566
42442200,249.5,-52.184368
42442210,69.900002,-21.888416
42442290,179.7,-63.939896
42443000,475.29999,-8.6261311
42443141,48.200001,-19.709543
42443142,427.79999,-7.4567542
42444000,1309.3,-2.9023142
42444100,1150.7,-1.9640199
42444110,711.59998,2.3468258
42444120,41.299999,-4.1162248
42444130,158.3,-8.6544514
42444190,240.60001,-9.7672482
42444200,156.39999,-10.23018
42444210,30.6,-6.8627462
42444220,126,-11.349209
42445000,3090.2,-1.3235358
42445100,2701.8,1.3731532
42445110,2538.5,2.0208805
42445120,163.10001,-8.7676287
42445200,226.3,-26.071587
42445220,68,-6.0294094
42445230,41.599998,-12.259612
42445290,117.2,-40.443684
42445300,161.8,-12.793571
42446000,1058.3,-9.9310246
42446110,698.59998,-2.2902949
42446120,175.8,-22.696251
42446130,70.800003,-46.0452
42446190,112.9,-15.323298
42446191,53.700001,-15.083803
42446199,59.299999,-15.177066
42447000,947.20001,-5.2259288
42447110,846.70001,-5.1021628
42447190,101.1,-7.0227485
42448000,1289.1,-61.20549
