ces_industry,employment,growth
00000000,151786,-.45971131
05000000,129027,-.54956067
06000000,21152,-.2546449
07000000,130634,-.49283597
08000000,107875,-.60718298
10000000,708,-.97902095
10113300,53.700001,-1.1049696
10210000,654.09998,-.95397466
10211000,156.5,-.063860856
10212000,188.10001,-.42349806
10212100,49.799999,-1.1904807
10212111,,
10212113,,
10212200,40.799999,0
10212300,97.599998,-.10235259
10212310,,
10212312,,
10212319,,
10212320,,
10212321,,
10212390,,
10213000,309.5,-1.7148283
10213112,,
20000000,7605,-.37987947
20236000,1680.1,-.50337559
20236100,844,.26134619
20236115,,
20236116,,
20236117,,
20236118,,
20236200,836.09998,-1.263582
20236210,,
20236220,,
20237000,1084.4,-.9318428
20237100,,
20237110,,
20237120,,
20237130,,
20237200,,
20237300,,
20237900,,
20238000,4840.5,-.21028295
20238001,2119.1001,-.305796
20238002,2721.3999,-.135782
20238100,,
20238110,,
20238120,,
20238130,,
20238140,,
20238150,,
20238160,,
20238170,,
20238190,,
20238200,,
20238210,,
20238220,,
20238290,,
20238300,,
20238310,,
20238320,,
20238330,,
20238340,,
20238350,,
20238390,,
20238900,,
20238910,,
20238990,,
30000000,12839,-.14000155
31000000,8056,-.086816318
31321000,411.89999,.170229
31321100,,
31321200,,
31321900,,
31321910,,
31321911,,
31321918,,
31321920,,
31321990,,
31327000,424.39999,-.28195775
31327100,,
31327200,,
31327212,,
31327215,,
31327300,,
31327320,,
31327390,,
31327900,,
31331000,371.70001,-.26831231
31331100,,
31331200,,
31331300,,
31331400,,
31331500,,
31331510,,
31331520,,
31332000,1480.4,-.29633784
31332100,,
31332200,,
31332300,,
31332310,,
31332312,,
31332313,,
31332320,,
31332321,,
31332322,,
31332323,,
31332400,,
31332600,,
31332700,,
31332710,,
31332720,,
31332721,,
31332722,,
31332800,,
31332812,,
31332813,,
31332900,,
31332910,,
31332912,,
31332919,,
31332990,,
31332994,,
31332999,,
31333000,1108.5,-.13513513
31333100,,
31333110,,
31333120,,
31333130,,
31333200,,
31333300,,
31333400,,
31333415,,
31333500,,
31333511,,
31333514,,
31333517,,
31333519,,
31333600,,
31333900,,
31333910,,
31333920,,
31333990,,
31334000,1101.3,.16371521
31334100,170.2,.41297755
31334200,84.5,-.11820151
31334220,,
31334400,379.39999,.15839654
31334412,,
31334413,,
31334418,,
31334419,,
31334500,433.79999,.1153935
31334510,,
31334511,,
31334513,,
31334515,,
31334519,,
31334600,33.400002,.30030718
31335000,404.89999,-.024692865
31335100,,
31335200,,
31335300,,
31335311,,
31335314,,
31335900,,
31335910,,
31335930,,
31335990,,
31336000,1743.4,-.080239818
31336001,996.70001,-.22024348
31336100,,
31336111,,
31336200,,
31336211,,
31336214,,
31336300,,
31336310,,
31336320,,
31336330,,
31336350,,
31336360,,
31336370,,
31336390,,
31336400,,
31336411,,
31336412,,
31336413,,
31336419,,
31336600,,
31336611,,
31336612,,
31336900,,
31337000,385.89999,-.10354489
31337100,,
31337110,,
31337120,,
31337121,,
31337122,,
31337127,,
31337200,,
31337214,,
31337215,,
31337900,,
31339000,623.29999,.048152134
31339100,,
31339112,,
31339113,,
31339116,,
31339900,,
31339910,,
31339920,,
31339950,,
31339990,,
32000000,4783,-.22945349
32311000,1653.4,-.090639919
32311100,,
32311200,,
32311220,,
32311230,,
32311300,,
32311350,,
32311400,,
32311410,,
32311411,,
32311412,,
32311420,,
32311500,,
32311511,,
32311600,,
32311611,,
32311613,,
32311615,,
32311700,,
32311800,,
32311810,,
32311811,,
32311813,,
32311830,,
32311900,,
32311910,,
32311990,,
32313000,106.1,-.46904317
32313200,,
32314000,109.4,-1.7070992
32314100,,
32314900,,
32314910,,
32314990,,
32315000,105.2,.09514603
32315200,,
32315210,,
32315280,,
32315900,,
32322000,363.39999,-.055008858
32322100,,
32322120,,
32322130,,
32322200,,
32322210,,
32322211,,
32322219,,
32322220,,
32322290,,
32323000,413.70001,-.83892614
32323117,,
32324000,113.6,-.61242741
32324110,,
32324190,,
32325000,847.40002,-.35277516
32325100,,
32325130,,
32325180,,
32325190,,
32325200,,
32325211,,
32325300,,
32325400,,
32325412,,
32325414,,
32325500,,
32325600,,
32325610,,
32325620,,
32325900,,
32326000,749,.21407218
32326100,,
32326110,,
32326113,,
32326120,,
32326150,,
32326160,,
32326190,,
32326200,,
32326210,,
32326290,,
32329000,321.39999,-.6491518
32329100,,
32329110,,
32329111,,
32329140,,
32329900,,
40000000,27781,-.17606899
41420000,5936.5,.015161102
41423000,3220.1001,.027961807
41423100,,
41423110,,
41423120,,
41423200,,
41423210,,
41423220,,
41423300,,
41423310,,
41423320,,
41423390,,
41423400,,
41423420,,
41423430,,
41423450,,
41423490,,
41423500,,
41423600,,
41423610,,
41423690,,
41423700,,
41423710,,
41423720,,
41423740,,
41423800,,
41423810,,
41423820,,
41423830,,
41423840,,
41423850,,
41423860,,
41423900,,
41423910,,
41423930,,
41423940,,
41423990,,
41424000,2183.5,.009158209
41424100,,
41424120,,
41424130,,
41424200,,
41424300,,
41424330,,
41424400,,
41424410,,
41424480,,
41424500,,
41424510,,
41424600,,
41424700,,
41424800,,
41424810,,
