ces_industry,employment,growth
00000000,152463,-12.82344
05000000,129718,-13.865462
06000000,21205,-8.5970287
07000000,131258,-13.506225
08000000,108513,-14.89499
10000000,714,-11.484593
10113300,54.5,-8.0733976
10210000,659.70001,-11.732609
10211000,156.60001,-6.1302719
10212000,188.60001,-4.6659613
10212100,50.400002,-7.5396886
10212111,22.6,
10212113,27.700001,
10212200,40.799999,-4.1666684
10212300,97.400002,-3.3880935
10212310,43.200001,
10212312,23.799999,
10212319,19.5,
10212320,42.099998,
10212321,30.5,
10212390,12.4,
10213000,314.5,-18.759937
10213112,250,
20000000,7639,-7.8020682
20236000,1689.1,-7.2642207
20236100,841.29999,-6.989182
20236115,375.70001,
20236116,40.099998,
20236117,42.099998,
20236118,383.70001,
20236200,847.79999,-7.5371509
20236210,162.7,
20236220,685.09998,
20237000,1098.9,-6.524713
20237100,567.79999,
20237110,199.8,
20237120,154,
20237130,213.10001,
20237200,38.299999,
20237300,375,
20237900,121.3,
20238000,4850.7002,-8.2730389
20238001,2124.7,-7.554008
20238002,2726,-8.833457
20238100,972,
20238110,250.39999,
20238120,91.099998,
20238130,87,
20238140,153.3,
20238150,75.099998,
20238160,227.3,
20238170,39.5,
20238190,46.599998,
20238200,2308.7,
20238210,985.70001,
20238220,1173.1,
20238290,152.8,
20238300,854.09998,
20238310,262.39999,
20238320,216.8,
20238330,82.400002,
20238340,60.5,
20238350,151.2,
20238390,82.699997,
20238900,712.5,
20238910,358.29999,
20238990,354.5,
30000000,12852,-8.9091196
31000000,8058,-10.114172
31321000,410.60001,-8.329277
31321100,92.900002,
31321200,84.199997,
31321900,233.60001,
31321910,103.1,
31321911,55.299999,
31321918,47.799999,
31321920,61.700001,
31321990,69,
31327000,425.60001,-6.7669215
31327100,40.700001,
31327200,84.800003,
31327212,26.5,
31327215,58.400002,
31327300,201.89999,
31327320,103.9,
31327390,98.599998,
31327900,98.099998,
31331000,372.70001,-10.625169
31331100,83.5,
31331200,54.799999,
31331300,57.799999,
31331400,61.200001,
31331500,115.9,
31331510,61.099998,
31331520,55.099998,
31332000,1483.9,-6.3211837
31332100,100.3,
31332200,34.400002,
31332300,404.60001,
31332310,177.8,
31332312,95.099998,
31332313,82.599998,
31332320,226.8,
31332321,65.599998,
31332322,115.9,
31332323,45.700001,
31332400,95.300003,
31332600,67.699997,
31332700,358,
31332710,278.20001,
31332720,79.900002,
31332721,39.5,
31332722,40.5,
31332800,140.3,
31332812,79.400002,
31332813,60.900002,
31332900,283.39999,
31332910,89.699997,
31332912,37.400002,
31332919,52.599998,
31332990,193.2,
31332994,45.400002,
31332999,147.8,
31333000,1109.9,-5.9554892
31333100,215,
31333110,75.900002,
31333120,69.199997,
31333130,69.599998,
31333200,116,
31333300,95.400002,
31333400,137.39999,
31333415,90.699997,
31333500,176.8,
31333511,36.599998,
31333514,61.099998,
31333517,41.299999,
31333519,37.799999,
31333600,97.699997,
31333900,272.5,
31333910,51,
31333920,85.300003,
31333990,136.3,
31334000,1098.2,-1.4842403
31334100,169.3,.59066743
31334200,84.599998,-3.9007039
31334220,49.599998,
31334400,378,-1.8783085
31334412,27.9,
31334413,187.60001,
31334418,61.200001,
31334419,102,
31334500,433.10001,-1.5931641
31334510,76.099998,
31334511,138.2,
