industry_code	naics_code	publishing_status	industry_name	display_level	selectable	sort_sequence
00000000	-	B	Total nonfarm	0	T	1
05000000	-	A	Total private	1	T	2
06000000	-	A	Goods-producing	1	T	3
07000000	-	B	Service-providing	1	T	4
08000000	-	A	Private service-providing	1	T	5
10000000	-	A	Mining and logging	2	T	6
10113300	1133	A	Logging	5	T	7
10210000	21	A	Mining	3	T	8
10211000	211	A	Oil and gas extraction	4	T	9
10212000	212	A	Mining, except oil and gas	4	T	10
10212100	2121	E	Coal mining	5	T	11
10212111	212111	C	Bituminous coal and lignite surface mining	7	T	12
10212113	212112,3	C	Bituminous coal underground mining and anthracite mining	7	T	13
10212200	2122	E	Metal ore mining	5	T	14
10212300	2123	E	Nonmetallic mineral mining and quarrying	5	T	15
10212310	21231	A	Stone mining and quarrying	6	T	16
10212312	212312	A	Crushed and broken limestone mining	7	T	17
10212319	212311,3,9	A	Other stone mining and quarrying	7	T	18
10212320	21232	C	Sand, gravel, clay, and refractory mining	6	T	19
10212321	212321	B	Construction sand and gravel mining	7	T	20
10212390	21239	C	Other nonmetallic mineral mining	6	T	21
10213000	213	A	Support activities for mining	4	T	22
10213112	213112	A	Support activities for oil and gas operations	7	T	23
20000000	23	A	Construction	2	T	24
20236000	236	A	Construction of buildings	4	T	25
20236100	2361	A	Residential building	5	T	26
20236115	236115	A	New single-family general contractors	7	T	27
20236116	236116	B	New multifamily general contractors	7	T	28
20236117	236117	B	New housing operative builders	7	T	29
20236118	236118	A	Residential remodelers	7	T	30
20236200	2362	A	Nonresidential building	5	T	31
20236210	23621	A	Industrial building	6	T	32
20236220	23622	A	Commercial building	6	T	33
20237000	237	A	Heavy and civil engineering construction	4	T	34
20237100	2371	A	Utility system construction	5	T	35
20237110	23711	A	Water and sewer system construction	6	T	36
20237120	23712	A	Oil and gas pipeline construction	6	T	37
20237130	23713	A	Power and communication system construction	6	T	38
20237200	2372	E	Land subdivision	5	T	39
20237300	2373	A	Highway, street, and bridge construction	5	T	40
20237900	2379	E	Other heavy construction	5	T	41
20238000	238	A	Specialty trade contractors	4	T	42
20238001	part 238	C	Residential specialty trade contractors	4	T	43
20238002	part 238	C	Nonresidential specialty trade contractors	4	T	44
20238100	2381	A	Building foundation and exterior contractors	5	T	45
20238101	part 2381	C	Residential building foundation and exterior contractors	5	T	46
20238102	part 2381	C	Nonresidential building foundation and exterior contractors	5	T	47
20238110	23811	A	Poured concrete structure contractors	6	T	48
20238120	23812	A	Steel and precast concrete contractors	6	T	49
20238130	23813	A	Framing contractors	6	T	50
20238140	23814	A	Masonry contractors	6	T	51
20238150	23815	A	Glass and glazing contractors	6	T	52
20238160	23816	A	Roofing contractors	6	T	53
20238170	23817	A	Siding contractors	6	T	54
20238190	23819	A	Other building exterior contractors	6	T	55
20238200	2382	A	Building equipment contractors	5	T	56
20238201	part 2382	C	Residential building equipment contractors	5	T	57
20238202	part 2382	C	Nonresidential building equipment contractors	5	T	58
20238210	23821	A	Electrical contractors	6	T	59
20238220	23822	A	Plumbing and HVAC contractors	6	T	60
20238290	23829	A	Other building equipment contractors	6	T	61
20238300	2383	A	Building finishing contractors	5	T	62
20238301	part 2383	C	Residential building finishing contractors	5	T	63
20238302	part 2383	C	Nonresidential building finishing contractors	5	T	64
20238310	23831	A	Drywall and insulation contractors	6	T	65
20238320	23832	A	Painting and wall covering contractors	6	T	66
20238330	23833	A	Flooring contractors	6	T	67
20238340	23834	A	Tile and terrazzo contractors	6	T	68
20238350	23835	A	Finish carpentry contractors	6	T	69
20238390	23839	A	Other building finishing contractors	6	T	70
20238900	2389	A	Other specialty trade contractors	5	T	71
20238901	part 2389	C	Other residential trade contractors	5	T	72
20238902	part 2389	C	Other nonresidential trade contractors	5	T	73
20238910	23891	A	Site preparation contractors	6	T	74
20238990	23899	A	All other specialty trade contractors	6	T	75
30000000	-	AO	Manufacturing	2	T	76
31000000	-	AO	Durable goods	3	T	77
31321000	321	AO	Wood products	4	T	78
31321100	3211	AO	Sawmills and wood preservation	5	T	79
31321200	3212	AO	Plywood and engineered wood products	5	T	80
31321900	3219	AO	Other wood products	5	T	81
31321910	32191	AO	Millwork	6	T	82
31321911	321911	AT	Wood windows and doors	7	T	83
31321918	321912,8	AT	Cut stock, resawing lumber, planing, and other millwork, including flooring	7	T	84
31321920	32192	ET	Wood containers and pallets	6	T	85
31321990	32199	ET	All other wood products	6	T	86
31327000	327	AO	Nonmetallic mineral products	4	T	87
31327100	3271	C	Clay products and refractories	5	T	88
31327200	3272	B	Glass and glass products	5	T	89
31327212	327211,2	C	Flat glass and other pressed and blown glass and glassware	7	T	90
31327215	327213,5	C	Glass containers and products made of purchased glass	7	T	91
31327300	3273	AO	Cement and concrete products	5	T	92
31327320	32732	AO	Ready-mix concrete	6	T	93
31327390	32731,3,9	AO	Other cement and concrete products	6	T	94
31327900	3274,9	GT	Lime, gypsum, and other nonmetallic mineral products	5	T	95
31331000	331	AO	Primary metals	4	T	96
31331100	3311	C	Iron and steel mills and ferroalloy production	5	T	97
31331200	3312	C	Steel products from purchased steel	5	T	98
31331300	3313	C	Alumina and aluminum production	5	T	99
31331400	3314	C	Other nonferrous metal production	5	T	100
31331500	3315	AO	Foundries	5	T	101
31331510	33151	C	Ferrous metal foundries	6	T	102
31331520	33152	C	Nonferrous metal foundries	6	T	103
31332000	332	AO	Fabricated metal products	4	T	104
31332100	3321	AO	Forging and stamping	5	T	105
31332200	3322	C	Cutlery and hand tools	5	T	106
31332300	3323	AO	Architectural and structural metals	5	T	107
31332310	33231	AO	Plate work and fabricated structural products	6	T	108
31332312	332312	AO	Fabricated structural metal products	7	T	109
31332313	332311,3	C	Prefabricated metal buildings, components, and plate work	7	T	110
31332320	33232	AO	Ornamental and architectural metal products	6	T	111
31332321	332321	C	Metal windows and doors	7	T	112
31332322	332322	AO	Sheet metal work	7	T	113
31332323	332323	C	Ornamental and architectural metal work	7	T	114
31332400	3324	AO	Boilers, tanks, and shipping containers	5	T	115
31332600	3325,6	C	Hardware, spring, and wire products	5	T	116
31332700	3327	AO	Machine shops and threaded products	5	T	117
31332710	33271	AO	Machine shops	6	T	118
31332720	33272	AO	Turned products and screws, nuts, and bolts	6	T	119
31332721	332721	C	Precision turned products	7	T	120
31332722	332722	C	Bolts, nuts, screws, rivets, and washers	7	T	121
31332800	3328	AO	Coating, engraving, and heat treating metals	5	T	122
31332812	332811,2	AO	Metal heat treating and coating and nonprecious engraving	7	T	123
31332813	332813	AO	Electroplating, anodizing, and coloring metals	7	T	124
31332900	3329	AO	Other fabricated metal products	5	T	125
31332910	33291	AO	Metal valves	6	T	126
31332912	332912	C	Fluid power valves and hose fittings	7	T	127
31332919	332911,3,9	C	All other metal valves	7	T	128
31332990	33299	AO	All other fabricated metal products	6	T	129
31332994	332992,3,4	C	Small arms, ammunition, and other ordnance and accessories	7	T	130
31332999	332991,6,9	C	Miscellaneous fabricated metal products and ball and roller bearings	7	T	131
31333000	333	AO	Machinery	4	T	132
31333100	3331	AO	Agricultural, construction, and mining machinery	5	T	133
31333110	33311	C	Agricultural implements	6	T	134
31333120	33312	C	Construction machinery	6	T	135
31333130	33313	C	Mining and oil and gas field machinery	6	T	136
31333200	3332	AO	Industrial machinery	5	T	137
31333300	3333	AT	Commercial and service industry machinery	5	T	138
31333400	3334	AO	HVAC and commercial refrigeration equipment	5	T	139
31333415	333415	C	AC, refrigeration, and forced air heating	7	T	140
31333500	3335	AO	Metalworking machinery	5	T	141
31333511	333511	C	Industrial molds	7	T	142
31333514	333514	AO	Special tools, dies, jigs, and fixtures	7	T	143
31333517	333517	B	Machine tool manufacturing	7	T	144
31333519	333515,9	C	Miscellaneous metalworking machinery	7	T	145
31333600	3336	AO	Turbine and power transmission equipment	5	T	146
31333900	3339	AT	Other general purpose machinery	5	T	147
31333910	33391	B	Pumps and compressors	6	T	148
31333920	33392	ET	Material handling equipment	6	T	149
31333990	33399	B	All other general purpose machinery	6	T	150
31334000	334	AO	Computer and electronic products	4	T	151
31334100	3341	C	Computer and peripheral equipment	5	T	152
31334200	3342	A	Communications equipment	5	T	153
31334220	33422	C	Broadcast and wireless communications equipment	6	T	154
31334400	3344	AO	Semiconductors and electronic components	5	T	155
31334412	334412	C	Bare printed circuit boards	7	T	156
31334413	334413	E	Semiconductors and related devices	7	T	157
31334418	334418	C	Printed circuit assemblies	7	T	158
31334419	334416,7,9	AO	Electronic connectors and misc. electronic components	7	T	159
31334500	3345	AO	Electronic instruments	5	T	160
31334510	334510	C	Electromedical apparatus	7	T	161
31334511	334511	C	Search, detection, and navigation instruments	7	T	162
31334513	334513	E	Industrial process variable instruments	7	T	163
31334515	334515	C	Electricity and signal testing instruments	7	T	164
31334519	334512,4,6-9	C	Miscellaneous electronic instruments	7	T	165
31334600	3343,6	C	Miscellaneous computer and electronic products	5	T	166
31335000	335	AO	Electrical equipment and appliances	4	T	167
31335100	3351	C	Electric lighting equipment	5	T	168
31335200	3352	C	Household appliances	5	T	169
31335300	3353	AO	Electrical equipment	5	T	170
31335311	335311	C	Electric power and specialty transformers	7	T	171
31335314	335312,3,4	C	Motors and generators, switchgears and switchboard apparatus, and relay and industrial controls	7	T	172
31335900	3359	AO	Other electrical equipment and components	5	T	173
31335910	33591	C	Batteries	6	T	174
31335930	33593	C	Wiring devices	6	T	175
31335990	33592,9	C	All other electrical equipment and components	6	T	176
31336000	336	AO	Transportation equipment	4	T	177
31336001	3361,2,3	AO	Motor vehicles and parts	5	T	178
31336100	3361	AO	Motor vehicles	5	T	179
31336111	336111	C	Automobiles	7	T	180
31336200	3362	AO	Motor vehicle bodies and trailers	5	T	181
31336211	336211	ET	Motor vehicle bodies	7	T	182
31336214	336212,3,4	C	Truck trailers, motor homes, travel trailers, and campers	7	T	183
31336300	3363	AO	Motor vehicle parts	5	T	184
31336310	33631	AP	Motor vehicle gasoline engine and parts	6	T	185
31336320	33632	ET	Motor vehicle electric equipment	6	T	186
31336330	33633	C	Motor vehicle steering and suspension parts	6	T	187
31336350	33635	HP	Motor vehicle power train components	6	T	188
31336360	33636	C	Motor vehicle seating and interior trim	6	T	189
