Importance,Level,Code,Occupation
100,94,29-1069.11,Sports Medicine Physicians
99,98,29-1151.00,Nurse Anesthetists
99,92,29-2099.07,Surgical Assistants
99,88,19-3031.02,Clinical Psychologists
99,83,29-1066.00,Psychiatrists
99,79,29-1069.08,Physical Medicine and Rehabilitation Physicians
98,91,29-1171.00,Nurse Practitioners
98,90,29-1141.02,Advanced Practice Psychiatric Nurses
98,90,29-1069.03,Hospitalists
98,78,31-1013.00,Psychiatric Aides
97,90,29-1081.00,Podiatrists
97,88,29-2061.00,Licensed Practical and Licensed Vocational Nurses
97,88,29-1161.00,Nurse Midwives
97,85,29-2034.00,Radiologic Technologists
96,91,29-1071.00,Physician Assistants
96,88,29-1069.01,Allergists and Immunologists
96,87,29-1063.00,"Internists, General"
96,85,29-1064.00,Obstetricians and Gynecologists
96,84,29-2053.00,Psychiatric Technicians
96,83,29-9099.01,Midwives
96,81,29-1199.04,Naturopathic Physicians
96,79,29-1141.00,Registered Nurses
95,93,29-1141.01,Acute Care Nurses
95,89,29-1069.04,Neurologists
95,85,29-1022.00,Oral and Maxillofacial Surgeons
95,79,29-1125.02,Music Therapists
94,94,29-1067.00,Surgeons
94,92,29-2054.00,Respiratory Therapy Technicians
94,89,29-1141.03,Critical Care Nurses
94,87,21-1013.00,Marriage and Family Therapists
94,86,29-1069.06,Ophthalmologists
94,85,21-1014.00,Mental Health Counselors
94,85,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
94,81,29-1024.00,Prosthodontists
94,78,29-1125.01,Art Therapists
94,77,29-1122.00,Occupational Therapists
94,77,31-2011.00,Occupational Therapy Assistants
94,76,31-1011.00,Home Health Aides
94,73,39-9041.00,Residential Advisors
94,69,39-9011.01,Nannies
94,68,31-9091.00,Dental Assistants
94,63,31-1014.00,Nursing Assistants
93,86,29-2041.00,Emergency Medical Technicians and Paramedics
93,80,29-9091.00,Athletic Trainers
93,80,29-1011.00,Chiropractors
93,76,31-9092.00,Medical Assistants
93,75,39-9021.00,Personal Care Aides
93,72,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
92,90,29-1061.00,Anesthesiologists
92,89,29-1069.12,Urologists
92,88,29-1141.04,Clinical Nurse Specialists
92,82,21-1022.00,Healthcare Social Workers
92,78,11-9061.00,Funeral Service Managers
92,75,29-1123.00,Physical Therapists
91,87,29-1069.10,Radiologists
91,85,19-3031.03,Counseling Psychologists
91,79,29-1021.00,"Dentists, General"
91,77,29-2099.01,Neurodiagnostic Technologists
91,77,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
91,77,29-1125.00,Recreational Therapists
91,76,21-1023.00,Mental Health and Substance Abuse Social Workers
91,74,29-1069.02,Dermatologists
90,83,29-1124.00,Radiation Therapists
90,79,31-9099.02,Endoscopy Technicians
90,78,29-2035.00,Magnetic Resonance Imaging Technologists
