Importance,Level,Code,Occupation
94,72,25-3021.00,Self-Enrichment Education Teachers
89,81,11-3131.00,Training and Development Managers
88,83,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
88,81,29-1141.04,Clinical Nurse Specialists
88,78,11-9032.00,"Education Administrators, Elementary and Secondary School"
87,77,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
87,71,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
85,84,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
85,75,25-2032.00,"Career/Technical Education Teachers, Secondary School"
83,81,19-3031.03,Counseling Psychologists
83,77,13-1151.00,Training and Development Specialists
83,75,11-2022.00,Sales Managers
83,74,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
83,73,27-2022.00,Coaches and Scouts
82,88,27-2032.00,Choreographers
82,85,25-1112.00,"Law Teachers, Postsecondary"
82,78,25-1066.00,"Psychology Teachers, Postsecondary"
82,75,11-3121.00,Human Resources Managers
82,74,29-1024.00,Prosthodontists
81,75,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
81,72,25-1194.00,"Vocational Education Teachers, Postsecondary"
81,71,27-2012.03,Program Directors
81,69,11-9071.00,Gaming Managers
80,76,11-9111.00,Medical and Health Services Managers
80,75,25-1123.00,"English Language and Literature Teachers, Postsecondary"
80,73,25-1081.00,"Education Teachers, Postsecondary"
80,71,19-3031.02,Clinical Psychologists
80,70,25-2054.00,"Special Education Teachers, Secondary School"
79,79,25-9031.00,Instructional Coordinators
79,78,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
79,74,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
78,77,21-1013.00,Marriage and Family Therapists
78,73,11-9199.07,Security Managers
78,71,11-9039.02,Fitness and Wellness Coordinators
78,68,25-2021.00,"Elementary School Teachers, Except Special Education"
78,67,35-1011.00,Chefs and Head Cooks
78,65,11-9013.01,Nursery and Greenhouse Managers
77,74,25-2053.00,"Special Education Teachers, Middle School"
77,72,11-3031.02,"Financial Managers, Branch or Department"
77,71,25-2059.01,Adapted Physical Education Specialists
77,71,21-2021.00,"Directors, Religious Activities and Education"
77,68,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
77,66,39-1021.01,Spa Managers
77,60,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
76,75,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
76,71,13-2011.02,Auditors
76,71,33-1012.00,First-Line Supervisors of Police and Detectives
76,67,19-3032.00,Industrial-Organizational Psychologists
76,67,25-3099.02,Tutors
76,66,25-1032.00,"Engineering Teachers, Postsecondary"
76,64,11-9081.00,Lodging Managers
75,76,25-1042.00,"Biological Science Teachers, Postsecondary"
75,76,49-9095.00,Manufactured Building and Mobile Home Installers
75,75,11-9161.00,Emergency Management Directors
75,74,11-9199.04,Supply Chain Managers
75,73,29-1069.08,Physical Medicine and Rehabilitation Physicians
75,69,25-1052.00,"Chemistry Teachers, Postsecondary"
75,69,11-3051.00,Industrial Production Managers
75,68,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
75,63,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
74,80,25-1122.00,"Communications Teachers, Postsecondary"
74,74,15-1121.01,Informatics Nurse Specialists
74,74,25-1082.00,"Library Science Teachers, Postsecondary"
74,73,29-1141.02,Advanced Practice Psychiatric Nurses
74,70,11-9131.00,Postmasters and Mail Superintendents
74,68,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
74,67,29-1128.00,Exercise Physiologists
74,67,11-9199.08,Loss Prevention Managers
74,66,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
74,66,51-1011.00,First-Line Supervisors of Production and Operating Workers
74,65,33-1021.02,Forest Fire Fighting and Prevention Supervisors
73,71,29-1031.00,Dietitians and Nutritionists
73,71,11-3071.03,Logistics Managers
73,69,11-1011.00,Chief Executives
73,68,11-3061.00,Purchasing Managers
73,67,49-9044.00,Millwrights
73,62,11-1021.00,General and Operations Managers
72,76,13-1111.00,Management Analysts
72,74,25-1192.00,"Home Economics Teachers, Postsecondary"
72,72,33-2021.02,Fire Investigators
72,70,33-1011.00,First-Line Supervisors of Correctional Officers
72,69,25-1031.00,"Architecture Teachers, Postsecondary"
72,69,15-1199.09,Information Technology Project Managers
72,66,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
