Importance,Level,Code,Occupation
96,88,11-3121.00,Human Resources Managers
95,78,21-1091.00,Health Educators
95,75,33-1011.00,First-Line Supervisors of Correctional Officers
94,83,11-3131.00,Training and Development Managers
94,80,11-9199.02,Compliance Managers
94,80,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
94,77,27-1014.00,Multimedia Artists and Animators
94,75,11-2021.00,Marketing Managers
93,88,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
93,85,11-1011.00,Chief Executives
93,83,15-1199.09,Information Technology Project Managers
93,82,27-2012.03,Program Directors
93,74,29-2061.00,Licensed Practical and Licensed Vocational Nurses
93,70,21-1021.00,"Child, Family, and School Social Workers"
92,83,11-9161.00,Emergency Management Directors
92,82,15-1199.08,Business Intelligence Analysts
92,82,15-1121.01,Informatics Nurse Specialists
92,78,47-1011.03,Solar Energy Installation Managers
92,77,11-3051.02,Geothermal Production Managers
92,74,21-1094.00,Community Health Workers
92,72,51-2092.00,Team Assemblers
92,71,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
92,60,13-1071.00,Human Resources Specialists
91,82,13-1199.04,Business Continuity Planners
91,77,13-2099.02,Risk Management Specialists
91,74,13-2011.02,Auditors
91,74,21-1023.00,Mental Health and Substance Abuse Social Workers
91,74,11-9151.00,Social and Community Service Managers
91,73,53-1021.01,Recycling Coordinators
91,72,43-6011.00,Executive Secretaries and Executive Administrative Assistants
91,70,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
91,68,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
91,66,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
91,62,29-2053.00,Psychiatric Technicians
90,87,13-1151.00,Training and Development Specialists
90,86,27-3031.00,Public Relations Specialists
90,84,29-1141.04,Clinical Nurse Specialists
90,84,13-1111.00,Management Analysts
90,81,11-1011.03,Chief Sustainability Officers
90,80,11-9032.00,"Education Administrators, Elementary and Secondary School"
90,80,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
90,79,11-9111.00,Medical and Health Services Managers
90,76,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
90,73,11-9021.00,Construction Managers
90,70,43-4151.00,Order Clerks
90,68,25-1191.00,Graduate Teaching Assistants
90,65,17-3027.00,Mechanical Engineering Technicians
89,84,25-9031.00,Instructional Coordinators
89,83,49-9051.00,Electrical Power-Line Installers and Repairers
89,83,25-9031.01,Instructional Designers and Technologists
89,82,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
89,81,11-9039.01,Distance Learning Coordinators
89,76,21-1022.00,Healthcare Social Workers
89,75,33-1012.00,First-Line Supervisors of Police and Detectives
89,72,33-3051.01,Police Patrol Officers
89,71,29-1161.00,Nurse Midwives
89,70,33-3031.00,Fish and Game Wardens
89,65,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
89,64,43-4041.01,Credit Authorizers
89,64,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
89,63,29-1071.00,Physician Assistants
89,62,31-1013.00,Psychiatric Aides
88,83,11-9199.07,Security Managers
88,82,33-3021.06,Intelligence Analysts
88,79,15-1199.02,Computer Systems Engineers/Architects
88,78,13-2061.00,Financial Examiners
88,78,19-3051.00,Urban and Regional Planners
88,77,25-1123.00,"English Language and Literature Teachers, Postsecondary"
88,76,25-9011.00,Audio-Visual and Multimedia Collections Specialists
88,76,29-1069.09,Preventive Medicine Physicians
88,76,29-1069.11,Sports Medicine Physicians
88,74,29-2054.00,Respiratory Therapy Technicians
88,72,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
88,68,13-1121.00,"Meeting, Convention, and Event Planners"
88,63,11-9013.01,Nursery and Greenhouse Managers
88,59,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
87,84,11-3111.00,Compensation and Benefits Managers
87,84,49-9095.00,Manufactured Building and Mobile Home Installers
87,81,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
87,79,33-2021.02,Fire Investigators
87,79,11-9199.01,Regulatory Affairs Managers
87,76,13-2099.04,"Fraud Examiners, Investigators and Analysts"
87,76,33-3021.05,Immigration and Customs Inspectors
87,76,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
87,75,11-9131.00,Postmasters and Mail Superintendents
87,73,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
87,73,33-2022.00,Forest Fire Inspectors and Prevention Specialists
87,73,11-2031.00,Public Relations and Fundraising Managers
87,71,47-5081.00,Helpers--Extraction Workers
87,70,11-9081.00,Lodging Managers
87,70,29-1171.00,Nurse Practitioners
87,69,27-3021.00,Broadcast News Analysts
87,68,33-3021.01,Police Detectives
87,67,29-1122.00,Occupational Therapists
87,67,31-2012.00,Occupational Therapy Aides
87,67,29-1069.10,Radiologists
87,66,29-1031.00,Dietitians and Nutritionists
87,66,29-1069.08,Physical Medicine and Rehabilitation Physicians
87,65,51-8099.01,Biofuels Processing Technicians
87,61,39-1021.00,First-Line Supervisors of Personal Service Workers
87,61,43-4141.00,New Accounts Clerks
87,57,33-9032.00,Security Guards
86,80,13-1041.03,Equal Opportunity Representatives and Officers
86,78,11-9199.08,Loss Prevention Managers
86,78,29-9011.00,Occupational Health and Safety Specialists
86,76,13-1199.05,Sustainability Specialists
86,75,13-1041.07,Regulatory Affairs Specialists
86,74,15-1199.03,Web Administrators
86,73,29-1141.01,Acute Care Nurses
86,73,11-3011.00,Administrative Services Managers
86,72,17-1012.00,Landscape Architects
86,72,11-9141.00,"Property, Real Estate, and Community Association Managers"
86,72,17-2081.01,Water/Wastewater Engineers
86,71,29-1063.00,"Internists, General"
86,71,23-2011.00,Paralegals and Legal Assistants
86,71,11-3071.01,Transportation Managers
86,70,45-2011.00,Agricultural Inspectors
86,70,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
86,70,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
86,70,13-1081.00,Logisticians
86,69,19-2031.00,Chemists
86,69,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
86,69,11-9071.00,Gaming Managers
86,67,29-1141.00,Registered Nurses
86,67,19-4061.00,Social Science Research Assistants
86,63,51-9199.01,Recycling and Reclamation Workers
86,60,43-4021.00,Correspondence Clerks
86,58,43-9041.01,Insurance Claims Clerks
86,55,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
85,82,17-2111.01,Industrial Safety and Health Engineers
85,80,29-1069.04,Neurologists
85,78,19-1031.02,Range Managers
85,78,11-9199.04,Supply Chain Managers
85,77,47-4051.00,Highway Maintenance Workers
85,77,19-3099.01,Transportation Planners
85,76,17-1011.00,"Architects, Except Landscape and Naval"
85,76,33-3021.03,Criminal Investigators and Special Agents
85,76,11-3051.00,Industrial Production Managers
85,75,11-3051.06,Hydroelectric Production Managers
85,75,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
85,75,15-2031.00,Operations Research Analysts
85,75,33-3041.00,Parking Enforcement Workers
85,74,25-1042.00,"Biological Science Teachers, Postsecondary"
85,74,29-9012.00,Occupational Health and Safety Technicians
85,73,11-3071.03,Logistics Managers
85,73,31-9095.00,Pharmacy Aides
85,72,11-9039.02,Fitness and Wellness Coordinators
85,72,39-1021.01,Spa Managers
85,72,29-2099.07,Surgical Assistants
85,71,29-1124.00,Radiation Therapists
85,71,17-2051.01,Transportation Engineers
85,70,19-4051.02,Nuclear Monitoring Technicians
85,69,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
85,69,43-3021.01,Statement Clerks
85,68,51-1011.00,First-Line Supervisors of Production and Operating Workers
85,67,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
85,67,43-9111.00,Statistical Assistants
85,67,29-2056.00,Veterinary Technologists and Technicians
85,66,29-9099.01,Midwives
85,66,31-9097.00,Phlebotomists
85,65,29-9091.00,Athletic Trainers
85,65,33-3052.00,Transit and Railroad Police
85,63,19-4031.00,Chemical Technicians
85,63,39-9032.00,Recreation Workers
85,61,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
85,56,31-1014.00,Nursing Assistants
84,81,19-2041.01,Climate Change Analysts
84,81,11-9033.00,"Education Administrators, Postsecondary"
84,80,11-9041.00,Architectural and Engineering Managers
84,78,19-3022.00,Survey Researchers
84,78,11-3031.01,Treasurers and Controllers
84,77,25-2032.00,"Career/Technical Education Teachers, Secondary School"
84,76,33-9099.02,Retail Loss Prevention Specialists
84,76,15-1199.11,Video Game Designers
84,75,11-3021.00,Computer and Information Systems Managers
84,75,17-2081.00,Environmental Engineers
84,75,41-9031.00,Sales Engineers
84,75,19-1013.00,Soil and Plant Scientists
84,74,11-2022.00,Sales Managers
84,74,25-2053.00,"Special Education Teachers, Middle School"
84,74,11-9199.10,Wind Energy Project Managers
84,74,19-1023.00,Zoologists and Wildlife Biologists
84,73,13-1075.00,Labor Relations Specialists
84,73,29-2057.00,Ophthalmic Medical Technicians
84,73,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
84,72,15-2011.00,Actuaries
84,72,19-1012.00,Food Scientists and Technologists
84,71,29-2055.00,Surgical Technologists
84,70,33-3021.02,Police Identification and Records Officers
84,70,29-1066.00,Psychiatrists
84,69,27-4012.00,Broadcast Technicians
84,69,27-1021.00,Commercial and Industrial Designers
84,69,17-3024.00,Electro-Mechanical Technicians
84,69,19-2041.00,"Environmental Scientists and Specialists, Including Health"
84,69,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
84,68,31-9092.00,Medical Assistants
84,66,13-2021.01,Assessors
84,66,17-3029.07,Mechanical Engineering Technologists
84,65,53-1011.00,Aircraft Cargo Handling Supervisors
84,63,39-1012.00,Slot Supervisors
84,60,19-4011.01,Agricultural Technicians
84,58,17-3012.02,Electrical Drafters
84,58,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
84,57,31-2022.00,Physical Therapist Aides
83,79,11-9121.00,Natural Sciences Managers
83,77,29-1069.01,Allergists and Immunologists
83,76,19-1029.03,Geneticists
83,74,17-1022.01,Geodetic Surveyors
83,74,51-8011.00,Nuclear Power Reactor Operators
83,74,17-2199.02,Validation Engineers
83,73,17-2199.03,Energy Engineers
