Context,Code,Occupation
100,29-1069.01,Allergists and Immunologists
100,29-1011.00,Chiropractors
100,29-2021.00,Dental Hygienists
100,29-1069.02,Dermatologists
100,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
100,43-6013.00,Medical Secretaries
100,29-1064.00,Obstetricians and Gynecologists
100,29-1069.06,Ophthalmologists
100,29-1199.05,Orthoptists
100,31-2021.00,Physical Therapist Assistants
100,29-1123.00,Physical Therapists
100,43-4171.00,Receptionists and Information Clerks
100,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
100,29-2054.00,Respiratory Therapy Technicians
100,39-1021.01,Spa Managers
100,25-2051.00,"Special Education Teachers, Preschool"
100,31-9099.01,Speech-Language Pathology Assistants
100,41-9041.00,Telemarketers
99,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
99,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
99,29-2031.00,Cardiovascular Technologists and Technicians
99,21-1021.00,"Child, Family, and School Social Workers"
99,43-4041.02,Credit Checkers
99,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
99,39-1021.00,First-Line Supervisors of Personal Service Workers
99,43-3041.00,Gaming Cage Workers
99,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
99,13-1032.00,"Insurance Appraisers, Auto Damage"
99,43-4131.00,Loan Interviewers and Clerks
99,29-1199.04,Naturopathic Physicians
99,29-1023.00,Orthodontists
99,41-2022.00,Parts Salespersons
99,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
99,11-9131.00,Postmasters and Mail Superintendents
99,11-3051.01,Quality Control Systems Managers
99,29-1124.00,Radiation Therapists
99,27-4013.00,Radio Operators
99,29-2034.00,Radiologic Technologists
99,41-9022.00,Real Estate Sales Agents
99,21-1093.00,Social and Human Service Assistants
99,29-1069.11,Sports Medicine Physicians
99,27-2012.05,Technical Directors/Managers
99,43-3071.00,Tellers
99,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
98,43-3011.00,Bill and Account Collectors
98,33-3012.00,Correctional Officers and Jailers
98,41-2021.00,Counter and Rental Clerks
98,33-2021.01,Fire Inspectors
98,33-2021.02,Fire Investigators
98,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
98,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
98,29-2092.00,Hearing Aid Specialists
98,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
98,43-4111.00,"Interviewers, Except Eligibility and Loan"
98,13-1121.00,"Meeting, Convention, and Event Planners"
98,29-1069.04,Neurologists
98,43-4141.00,New Accounts Clerks
98,31-1015.00,Orderlies
98,43-4051.03,Patient Representatives
98,31-2022.00,Physical Therapist Aides
98,29-1071.00,Physician Assistants
98,33-3051.01,Police Patrol Officers
98,27-2012.03,Program Directors
98,29-1141.00,Registered Nurses
98,39-5093.00,Shampooers
98,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
98,25-2053.00,"Special Education Teachers, Middle School"
98,25-2054.00,"Special Education Teachers, Secondary School"
98,43-2011.00,"Switchboard Operators, Including Answering Service"
98,43-2021.00,Telephone Operators
98,29-2056.00,Veterinary Technologists and Technicians
97,53-1011.00,Aircraft Cargo Handling Supervisors
97,39-3091.00,Amusement and Recreation Attendants
97,15-1151.00,Computer User Support Specialists
97,27-3043.04,Copy Writers
97,31-9091.00,Dental Assistants
97,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
97,39-4011.00,Embalmers
97,33-1012.00,First-Line Supervisors of Police and Detectives
97,53-2031.00,Flight Attendants
97,11-9051.00,Food Service Managers
97,41-2012.00,Gaming Change Persons and Booth Cashiers
97,39-1011.00,Gaming Supervisors
97,27-3091.00,Interpreters and Translators
97,29-2061.00,Licensed Practical and Licensed Vocational Nurses
97,11-9081.00,Lodging Managers
97,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
97,31-2011.00,Occupational Therapy Assistants
97,29-2057.00,Ophthalmic Medical Technicians
97,29-1051.00,Pharmacists
97,21-1092.00,Probation Officers and Correctional Treatment Specialists
97,43-3061.00,Procurement Clerks
97,11-2031.00,Public Relations and Fundraising Managers
97,41-2031.00,Retail Salespersons
97,41-3031.02,"Sales Agents, Financial Services"
97,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
97,41-3031.03,Securities and Commodities Traders
97,43-3021.01,Statement Clerks
97,11-3071.01,Transportation Managers
97,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
