Importance,Level,Code,Occupation
94,87,47-5081.00,Helpers--Extraction Workers
93,74,47-5013.00,"Service Unit Operators, Oil and Gas"
92,90,51-4041.00,Machinists
92,84,47-2072.00,Pile Driver Operators
92,74,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
91,88,49-9095.00,Manufactured Building and Mobile Home Installers
91,86,47-2073.00,Operating Engineers and Other Construction Equipment Operators
91,83,49-9081.00,Wind Turbine Service Technicians
91,80,45-4022.00,Logging Equipment Operators
91,78,53-4011.00,Locomotive Engineers
91,73,51-5112.00,Printing Press Operators
90,85,29-1124.00,Radiation Therapists
90,70,51-9191.00,Adhesive Bonding Machine Operators and Tenders
89,82,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
89,73,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
89,66,47-2011.00,Boilermakers
88,84,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
88,78,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
88,74,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
88,72,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
88,70,47-5023.00,"Earth Drillers, Except Oil and Gas"
87,90,51-8013.04,Hydroelectric Plant Technicians
87,81,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
87,72,53-5011.00,Sailors and Marine Oilers
86,82,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
86,79,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
86,73,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
86,72,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
86,72,47-5012.00,"Rotary Drill Operators, Oil and Gas"
86,72,51-6042.00,Shoe Machine Operators and Tenders
86,65,47-5011.00,"Derrick Operators, Oil and Gas"
86,65,51-3092.00,Food Batchmakers
85,92,51-9162.00,Computer Numerically Controlled Tool Programmers
85,87,53-7071.00,Gas Compressor and Gas Pumping Station Operators
85,81,51-9161.00,Computer Numerically Controlled Tool Operators
85,81,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
85,81,51-4062.00,"Patternmakers, Metal and Plastic"
85,79,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
85,77,47-5043.00,"Roof Bolters, Mining"
85,76,51-8013.00,Power Plant Operators
85,75,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
85,73,51-8031.00,Water and Wastewater Treatment Plant and System Operators
85,70,47-2151.00,Pipelayers
85,68,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
85,67,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
84,86,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
84,79,47-5041.00,Continuous Mining Machine Operators
84,73,49-9051.00,Electrical Power-Line Installers and Repairers
84,70,47-2061.00,Construction Laborers
84,68,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
83,88,51-4061.00,"Model Makers, Metal and Plastic"
83,83,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
83,74,51-2031.00,Engine and Other Machine Assemblers
83,73,51-8013.03,Biomass Plant Technicians
83,73,45-4021.00,Fallers
82,81,53-2012.00,Commercial Pilots
82,78,49-9099.01,Geothermal Technicians
82,75,53-7021.00,Crane and Tower Operators
82,72,53-7081.00,Refuse and Recyclable Material Collectors
82,69,51-5113.00,Print Binding and Finishing Workers
82,66,51-4071.00,Foundry Mold and Coremakers
81,84,51-7032.00,"Patternmakers, Wood"
81,83,51-8021.00,Stationary Engineers and Boiler Operators
81,70,51-9141.00,Semiconductor Processing Technicians
81,64,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
81,63,53-7031.00,Dredge Operators
81,54,51-9151.00,Photographic Process Workers and Processing Machine Operators
80,82,29-1211.00,Anesthesiologists
80,81,29-1241.00,"Ophthalmologists, Except Pediatric"
80,79,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
80,77,19-4051.00,Nuclear Technicians
80,75,11-9199.09,Wind Energy Operations Managers
80,73,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
80,72,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
80,71,51-9011.00,Chemical Equipment Operators and Tenders
80,71,49-3052.00,Motorcycle Mechanics
80,71,51-9197.00,Tire Builders
80,69,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
80,68,51-8099.01,Biofuels Processing Technicians
80,62,51-8091.00,Chemical Plant and System Operators
80,49,27-4031.00,"Camera Operators, Television, Video, and Film"
79,82,51-8011.00,Nuclear Power Reactor Operators
79,78,47-4021.00,Elevator and Escalator Installers and Repairers
79,76,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
79,71,47-2051.00,Cement Masons and Concrete Finishers
79,67,53-7011.00,Conveyor Operators and Tenders
79,64,51-3093.00,Food Cooking Machine Operators and Tenders
79,63,53-7062.04,Recycling and Reclamation Workers
79,60,45-2091.00,Agricultural Equipment Operators
79,51,35-3023.01,Baristas
78,78,53-7041.00,Hoist and Winch Operators
78,75,27-4014.00,Sound Engineering Technicians
78,74,51-7011.00,Cabinetmakers and Bench Carpenters
78,71,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
78,71,51-9022.00,"Grinding and Polishing Workers, Hand"
78,70,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
78,69,53-5031.00,Ship Engineers
78,69,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
78,68,29-2034.00,Radiologic Technologists and Technicians
78,65,53-6011.00,Bridge and Lock Tenders
78,64,53-7073.00,Wellhead Pumpers
77,78,49-9043.00,"Maintenance Workers, Machinery"
77,74,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
77,73,47-2043.00,Floor Sanders and Finishers
77,72,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
77,70,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
77,66,49-9071.00,"Maintenance and Repair Workers, General"
77,63,53-6031.00,Automotive and Watercraft Service Attendants
76,72,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
76,72,51-4192.00,"Layout Workers, Metal and Plastic"
76,72,51-9195.05,"Potters, Manufacturing"
76,72,17-3024.01,Robotics Technicians
76,65,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
76,64,47-2053.00,Terrazzo Workers and Finishers
76,60,29-2031.00,Cardiovascular Technologists and Technicians
76,56,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
75,79,17-3026.01,Nanotechnology Engineering Technologists and Technicians
75,70,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
75,69,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
75,67,49-9094.00,Locksmiths and Safe Repairers
75,65,51-9198.00,Helpers--Production Workers
74,78,29-1021.00,"Dentists, General"
74,76,17-2199.08,Robotics Engineers
74,67,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
74,62,51-9194.00,Etchers and Engravers
74,61,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
73,80,49-9044.00,Millwrights
73,67,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
73,60,47-4031.00,Fence Erectors
73,60,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
73,59,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
73,57,19-4013.00,Food Science Technicians
73,57,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
72,71,29-1126.00,Respiratory Therapists
72,69,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
72,67,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
72,63,53-7063.00,Machine Feeders and Offbearers
72,61,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
72,59,37-3013.00,Tree Trimmers and Pruners
72,58,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
71,74,49-9041.00,Industrial Machinery Mechanics
