Importance,Level,Code,Occupation
97,88,15-1299.09,Information Technology Project Managers
89,94,11-9021.00,Construction Managers
89,85,47-1011.03,Solar Energy Installation Managers
89,82,11-9041.00,Architectural and Engineering Managers
89,75,11-9199.09,Wind Energy Operations Managers
87,84,49-9095.00,Manufactured Building and Mobile Home Installers
86,72,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
85,82,11-9161.00,Emergency Management Directors
84,74,27-2012.03,Media Programming Directors
84,73,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
84,70,47-5013.00,"Service Unit Operators, Oil and Gas"
84,66,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
83,72,11-9032.00,"Education Administrators, Kindergarten through Secondary"
82,77,35-1011.00,Chefs and Head Cooks
82,69,11-9121.00,Natural Sciences Managers
82,63,11-3051.04,Biomass Power Plant Managers
81,73,27-2032.00,Choreographers
81,65,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
81,64,11-1021.00,General and Operations Managers
80,73,21-2021.00,"Directors, Religious Activities and Education"
80,60,11-9081.00,Lodging Managers
80,60,11-9179.02,Spa Managers
79,80,13-1111.00,Management Analysts
79,77,11-9199.10,Wind Energy Development Managers
79,74,27-1025.00,Interior Designers
79,73,11-9141.00,"Property, Real Estate, and Community Association Managers"
79,71,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
79,69,33-1011.00,First-Line Supervisors of Correctional Officers
79,59,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
78,78,11-3051.02,Geothermal Production Managers
78,76,17-2051.00,Civil Engineers
78,75,11-3051.06,Hydroelectric Production Managers
78,74,11-9131.00,Postmasters and Mail Superintendents
78,72,11-2022.00,Sales Managers
78,61,53-1041.00,Aircraft Cargo Handling Supervisors
77,73,19-3051.00,Urban and Regional Planners
77,72,11-1011.03,Chief Sustainability Officers
77,72,33-1012.00,First-Line Supervisors of Police and Detectives
77,70,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
77,68,11-9179.01,Fitness and Wellness Coordinators
77,67,11-9171.00,Funeral Home Managers
77,62,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
77,59,47-4091.00,Segmental Pavers
