Context,Code,Occupation
99,41-3021.00,Insurance Sales Agents
99,41-2022.00,Parts Salespersons
98,33-3011.00,Bailiffs
98,33-2021.02,Fire Investigators
98,13-1032.00,"Insurance Appraisers, Auto Damage"
98,29-1069.06,Ophthalmologists
98,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
97,29-2092.00,Hearing Aid Specialists
97,33-3051.01,Police Patrol Officers
97,33-3051.03,Sheriffs and Deputy Sheriffs
96,49-3091.00,Bicycle Repairers
96,39-6012.00,Concierges
96,33-3031.00,Fish and Game Wardens
96,39-1011.00,Gaming Supervisors
96,33-3021.01,Police Detectives
95,41-3011.00,Advertising Sales Agents
95,33-9011.00,Animal Control Workers
95,29-2041.00,Emergency Medical Technicians and Paramedics
95,33-1012.00,First-Line Supervisors of Police and Detectives
95,27-1023.00,Floral Designers
95,33-3021.05,Immigration and Customs Inspectors
95,53-5022.00,Motorboat Operators
95,39-1012.00,Slot Supervisors
95,43-2021.00,Telephone Operators
95,39-7012.00,Travel Guides
94,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
94,13-1041.02,Licensing Examiners and Inspectors
94,29-2081.00,"Opticians, Dispensing"
93,43-4041.01,Credit Authorizers
93,29-1069.02,Dermatologists
93,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
93,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
93,43-4131.00,Loan Interviewers and Clerks
93,13-1121.00,"Meeting, Convention, and Event Planners"
93,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
93,27-2012.03,Program Directors
93,47-4091.00,Segmental Pavers
93,43-2011.00,"Switchboard Operators, Including Answering Service"
93,33-3052.00,Transit and Railroad Police
93,29-1131.00,Veterinarians
92,13-1131.00,Fundraisers
92,43-4141.00,New Accounts Clerks
92,33-3021.02,Police Identification and Records Officers
92,27-4013.00,Radio Operators
92,41-9031.00,Sales Engineers
92,41-4011.07,Solar Sales Representatives and Assessors
92,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
91,29-1062.00,Family and General Practitioners
91,49-9031.00,Home Appliance Repairers
91,29-2033.00,Nuclear Medicine Technologists
91,19-1031.03,Park Naturalists
91,29-1123.00,Physical Therapists
91,29-1024.00,Prosthodontists
91,43-4171.00,Receptionists and Information Clerks
91,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
91,39-1021.01,Spa Managers
91,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
90,29-1181.00,Audiologists
90,43-4041.02,Credit Checkers
90,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
90,29-1041.00,Optometrists
90,29-1069.08,Physical Medicine and Rehabilitation Physicians
90,11-2031.00,Public Relations and Fundraising Managers
90,41-2031.00,Retail Salespersons
89,13-2021.01,Assessors
89,41-1011.00,First-Line Supervisors of Retail Sales Workers
89,53-2031.00,Flight Attendants
89,43-3041.00,Gaming Cage Workers
89,29-1023.00,Orthodontists
89,43-4051.03,Patient Representatives
89,11-9131.00,Postmasters and Mail Superintendents
89,29-2099.06,Radiologic Technicians
89,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
88,29-1141.01,Acute Care Nurses
88,41-2011.00,Cashiers
88,13-1041.06,Coroners
88,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
88,11-9032.00,"Education Administrators, Elementary and Secondary School"
88,21-1022.00,Healthcare Social Workers
88,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
88,31-9095.00,Pharmacy Aides
88,43-5081.01,"Stock Clerks, Sales Floor"
88,19-3051.00,Urban and Regional Planners
87,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
87,39-3091.00,Amusement and Recreation Attendants
87,51-3021.00,Butchers and Meat Cutters
87,43-4021.00,Correspondence Clerks
87,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
87,33-3021.03,Criminal Investigators and Special Agents
87,33-9091.00,Crossing Guards
87,29-1021.00,"Dentists, General"
87,41-3099.01,Energy Brokers
87,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
87,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
87,11-9081.00,Lodging Managers
87,33-2011.01,Municipal Firefighters
87,41-9021.00,Real Estate Brokers
87,41-3031.02,"Sales Agents, Financial Services"
87,39-7011.00,Tour Guides and Escorts
87,43-9022.00,Word Processors and Typists
86,43-4011.00,Brokerage Clerks
86,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
86,41-2021.00,Counter and Rental Clerks
86,13-2071.00,Credit Counselors
86,41-9011.00,Demonstrators and Product Promoters
86,21-2021.00,"Directors, Religious Activities and Education"
86,43-4061.00,"Eligibility Interviewers, Government Programs"
86,11-9161.00,Emergency Management Directors
86,51-9071.06,Gem and Diamond Workers
86,13-1041.04,Government Property Inspectors and Investigators
86,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
86,29-1022.00,Oral and Maxillofacial Surgeons
86,33-3041.00,Parking Enforcement Workers
86,29-1051.00,Pharmacists
86,43-5051.00,Postal Service Clerks
86,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
86,19-1031.02,Range Managers
86,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
86,41-3041.00,Travel Agents
85,53-6031.00,Automotive and Watercraft Service Attendants
85,25-9021.00,Farm and Home Management Advisors
85,33-2021.01,Fire Inspectors
85,33-2011.02,Forest Firefighters
85,39-3011.00,Gaming Dealers
85,43-4031.02,Municipal Clerks
85,29-2099.05,Ophthalmic Medical Technologists
85,29-2091.00,Orthotists and Prosthetists
85,29-2052.00,Pharmacy Technicians
85,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
84,39-6011.00,Baggage Porters and Bellhops
84,35-3022.01,Baristas
84,43-4031.01,Court Clerks
84,29-1031.00,Dietitians and Nutritionists
84,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
84,33-2022.00,Forest Fire Inspectors and Prevention Specialists
84,11-9061.00,Funeral Service Managers
84,11-9071.00,Gaming Managers
84,25-2012.00,"Kindergarten Teachers, Except Special Education"
84,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
84,49-9063.00,Musical Instrument Repairers and Tuners
84,29-1161.00,Nurse Midwives
84,29-1064.00,Obstetricians and Gynecologists
84,29-1199.05,Orthoptists
84,29-1065.00,"Pediatricians, General"
84,31-2021.00,Physical Therapist Assistants
84,43-3061.00,Procurement Clerks
84,29-2034.00,Radiologic Technologists
83,53-2022.00,Airfield Operations Specialists
83,29-1069.01,Allergists and Immunologists
83,43-5011.00,Cargo and Freight Agents
83,11-1011.00,Chief Executives
83,45-4011.00,Forest and Conservation Workers
83,39-4021.00,Funeral Attendants
83,29-1069.03,Hospitalists
83,49-9094.00,Locksmiths and Safe Repairers
