Importance,Level,Code,Occupation
89,74,11-1011.00,Chief Executives
89,69,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
88,71,11-9161.00,Emergency Management Directors
86,79,15-1199.09,Information Technology Project Managers
86,74,29-1141.04,Clinical Nurse Specialists
85,75,13-1111.00,Management Analysts
85,75,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
85,69,33-2021.02,Fire Investigators
84,72,11-9032.00,"Education Administrators, Elementary and Secondary School"
84,63,33-1021.02,Forest Fire Fighting and Prevention Supervisors
83,72,11-9199.04,Supply Chain Managers
83,68,11-3131.00,Training and Development Managers
83,67,11-3121.00,Human Resources Managers
83,60,29-2053.00,Psychiatric Technicians
82,81,49-9095.00,Manufactured Building and Mobile Home Installers
82,66,11-3051.02,Geothermal Production Managers
81,70,21-1091.00,Health Educators
81,69,27-2032.00,Choreographers
81,66,11-2022.00,Sales Managers
81,58,27-2022.00,Coaches and Scouts
80,70,19-3051.00,Urban and Regional Planners
80,63,27-2012.03,Program Directors
79,69,11-9111.00,Medical and Health Services Managers
79,66,11-3071.03,Logistics Managers
79,63,11-3061.00,Purchasing Managers
79,56,39-1021.01,Spa Managers
78,69,11-3021.00,Computer and Information Systems Managers
78,66,11-1011.03,Chief Sustainability Officers
78,66,21-2021.00,"Directors, Religious Activities and Education"
78,66,25-9031.00,Instructional Coordinators
78,66,11-3031.01,Treasurers and Controllers
78,64,11-9199.07,Security Managers
78,63,29-1171.00,Nurse Practitioners
78,53,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
77,73,11-9021.00,Construction Managers
77,70,47-1011.03,Solar Energy Installation Managers
77,69,15-1121.01,Informatics Nurse Specialists
77,66,29-1141.01,Acute Care Nurses
77,61,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
77,61,11-2021.00,Marketing Managers
77,61,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
77,58,13-1121.00,"Meeting, Convention, and Event Planners"
77,56,13-1131.00,Fundraisers
77,53,21-1021.00,"Child, Family, and School Social Workers"
76,66,13-1081.00,Logisticians
76,65,13-2011.02,Auditors
76,64,19-1031.02,Range Managers
76,63,19-3032.00,Industrial-Organizational Psychologists
76,62,13-1151.00,Training and Development Specialists
76,53,39-1012.00,Slot Supervisors
76,45,43-4041.01,Credit Authorizers
75,65,11-3071.02,Storage and Distribution Managers
75,62,13-1199.04,Business Continuity Planners
75,60,11-9071.00,Gaming Managers
75,60,25-9031.01,Instructional Designers and Technologists
75,57,29-1021.00,"Dentists, General"
75,56,25-9021.00,Farm and Home Management Advisors
75,50,11-1021.00,General and Operations Managers
74,70,17-2141.02,Automotive Engineers
74,70,17-2081.01,Water/Wastewater Engineers
74,68,29-1069.09,Preventive Medicine Physicians
74,64,11-9033.00,"Education Administrators, Postsecondary"
74,63,33-1012.00,First-Line Supervisors of Police and Detectives
74,63,33-2022.00,Forest Fire Inspectors and Prevention Specialists
74,62,11-9039.01,Distance Learning Coordinators
74,57,35-1011.00,Chefs and Head Cooks
74,55,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
74,54,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
74,54,39-9032.00,Recreation Workers
74,51,29-1122.00,Occupational Therapists
73,73,17-1011.00,"Architects, Except Landscape and Naval"
73,67,27-1025.00,Interior Designers
73,65,47-4051.00,Highway Maintenance Workers
73,63,13-1075.00,Labor Relations Specialists
73,63,17-2051.01,Transportation Engineers
73,61,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
73,54,21-1094.00,Community Health Workers
72,67,11-9121.01,Clinical Research Coordinators
72,64,11-3051.00,Industrial Production Managers
72,63,19-2041.02,Environmental Restoration Planners
72,61,33-1011.00,First-Line Supervisors of Correctional Officers
72,61,17-1012.00,Landscape Architects
72,61,29-1161.00,Nurse Midwives
72,58,11-3071.01,Transportation Managers
72,58,11-9199.09,Wind Energy Operations Managers
72,55,11-9199.08,Loss Prevention Managers
72,52,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
71,68,19-1012.00,Food Scientists and Technologists
71,67,11-9199.10,Wind Energy Project Managers
71,66,11-9199.01,Regulatory Affairs Managers
71,65,17-2081.00,Environmental Engineers
71,61,11-3051.03,Biofuels Production Managers
71,61,11-3051.06,Hydroelectric Production Managers
71,59,29-9011.00,Occupational Health and Safety Specialists
71,58,17-2199.03,Energy Engineers
71,58,11-9039.02,Fitness and Wellness Coordinators
71,57,25-1031.00,"Architecture Teachers, Postsecondary"
71,56,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
71,56,53-1021.01,Recycling Coordinators
71,56,19-3099.01,Transportation Planners
71,47,47-4091.00,Segmental Pavers
70,68,13-1081.01,Logistics Engineers
70,64,49-9044.00,Millwrights
70,63,15-1199.02,Computer Systems Engineers/Architects
70,63,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
70,62,25-2032.00,"Career/Technical Education Teachers, Secondary School"
70,61,11-3051.04,Biomass Power Plant Managers
70,61,11-3031.02,"Financial Managers, Branch or Department"
70,61,33-3051.01,Police Patrol Officers
70,61,29-2054.00,Respiratory Therapy Technicians
70,61,13-1199.05,Sustainability Specialists
70,59,51-1011.00,First-Line Supervisors of Production and Operating Workers
70,58,29-1069.08,Physical Medicine and Rehabilitation Physicians
70,57,53-1011.00,Aircraft Cargo Handling Supervisors
70,55,21-1022.00,Healthcare Social Workers
70,52,29-1125.00,Recreational Therapists
70,50,27-3031.00,Public Relations Specialists
69,63,11-3111.00,Compensation and Benefits Managers
69,61,29-1141.02,Advanced Practice Psychiatric Nurses
69,61,17-2051.00,Civil Engineers
69,60,29-1151.00,Nurse Anesthetists
69,60,11-9131.00,Postmasters and Mail Superintendents
69,58,17-3029.05,Industrial Engineering Technologists
69,58,11-9013.01,Nursery and Greenhouse Managers
69,58,11-9151.00,Social and Community Service Managers
69,55,29-2061.00,Licensed Practical and Licensed Vocational Nurses
69,53,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
69,51,11-9199.02,Compliance Managers
69,51,25-2021.00,"Elementary School Teachers, Except Special Education"
69,50,41-9022.00,Real Estate Sales Agents
68,67,17-2031.00,Biomedical Engineers
68,64,49-9051.00,Electrical Power-Line Installers and Repairers
68,62,27-2041.01,Music Directors
68,60,25-1071.00,"Health Specialties Teachers, Postsecondary"
68,55,29-1022.00,Oral and Maxillofacial Surgeons
68,54,11-9081.00,Lodging Managers
68,54,33-2011.01,Municipal Firefighters
68,54,29-1066.00,Psychiatrists
68,50,11-3011.00,Administrative Services Managers
68,49,17-2171.00,Petroleum Engineers
68,42,25-2023.00,"Career/Technical Education Teachers, Middle School"
67,69,17-2041.00,Chemical Engineers
67,63,13-2099.04,"Fraud Examiners, Investigators and Analysts"
67,59,17-2199.01,Biochemical Engineers
67,59,15-1199.03,Web Administrators
67,57,29-1024.00,Prosthodontists
67,56,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
67,53,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
67,52,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
67,51,29-1023.00,Orthodontists
67,51,25-2053.00,"Special Education Teachers, Middle School"
67,46,11-9121.00,Natural Sciences Managers
67,40,27-1022.00,Fashion Designers
67,37,43-9031.00,Desktop Publishers
66,68,31-9095.00,Pharmacy Aides
66,60,13-1199.02,Security Management Specialists
66,58,19-3091.02,Archeologists
66,58,47-5081.00,Helpers--Extraction Workers
66,58,11-9141.00,"Property, Real Estate, and Community Association Managers"
66,55,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
66,55,31-9097.00,Phlebotomists
66,54,29-1141.03,Critical Care Nurses
66,53,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
66,53,29-1069.03,Hospitalists
66,50,19-1029.03,Geneticists
66,45,33-9099.02,Retail Loss Prevention Specialists
66,40,29-1141.00,Registered Nurses
65,58,15-1199.08,Business Intelligence Analysts
65,57,19-4093.00,Forest and Conservation Technicians
65,55,29-1069.01,Allergists and Immunologists
65,54,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
65,54,29-1031.00,Dietitians and Nutritionists
65,52,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
65,52,41-1011.00,First-Line Supervisors of Retail Sales Workers
65,51,29-1071.00,Physician Assistants
65,50,11-9013.03,Aquacultural Managers
65,50,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
65,48,39-9041.00,Residential Advisors
65,41,25-2011.00,"Preschool Teachers, Except Special Education"
64,61,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
64,61,13-1041.07,Regulatory Affairs Specialists
64,61,15-1199.11,Video Game Designers
64,58,19-3031.03,Counseling Psychologists
64,57,27-2021.00,Athletes and Sports Competitors
64,56,17-3029.06,Manufacturing Engineering Technologists
64,56,27-1027.00,Set and Exhibit Designers
64,56,25-2054.00,"Special Education Teachers, Secondary School"
