Context,Code,Occupation
100,13-2011.00,Accountants and Auditors
100,15-2011.00,Actuaries
100,11-2011.00,Advertising and Promotions Managers
100,41-3011.00,Advertising Sales Agents
100,17-2011.00,Aerospace Engineers
100,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
100,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
100,53-1041.00,Aircraft Cargo Handling Supervisors
100,11-9041.00,Architectural and Engineering Managers
100,25-4011.00,Archivists
100,27-1011.00,Art Directors
100,19-2021.00,Atmospheric and Space Scientists
100,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
100,17-2141.02,Automotive Engineers
100,17-2031.00,Bioengineers and Biomedical Engineers
100,11-3051.03,Biofuels Production Managers
100,19-1029.01,Bioinformatics Scientists
100,19-1029.04,Biologists
100,43-4011.00,Brokerage Clerks
100,13-2031.00,Budget Analysts
100,25-1011.00,"Business Teachers, Postsecondary"
100,17-2041.00,Chemical Engineers
100,19-4031.00,Chemical Technicians
100,25-1052.00,"Chemistry Teachers, Postsecondary"
100,11-1011.00,Chief Executives
100,11-1011.03,Chief Sustainability Officers
100,21-1021.00,"Child, Family, and School Social Workers"
100,17-2051.00,Civil Engineers
100,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
100,15-2051.02,Clinical Data Managers
100,29-1141.04,Clinical Nurse Specialists
100,27-1021.00,Commercial and Industrial Designers
100,11-3111.00,Compensation and Benefits Managers
100,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
100,11-9199.02,Compliance Managers
100,15-1221.00,Computer and Information Research Scientists
100,11-3021.00,Computer and Information Systems Managers
100,15-1241.00,Computer Network Architects
100,15-1251.00,Computer Programmers
100,25-1021.00,"Computer Science Teachers, Postsecondary"
100,15-1211.00,Computer Systems Analysts
100,15-1299.08,Computer Systems Engineers/Architects
100,15-1232.00,Computer User Support Specialists
100,13-1051.00,Cost Estimators
100,13-2041.00,Credit Analysts
100,33-3051.04,Customs and Border Protection Officers
100,13-1041.08,Customs Brokers
100,15-1243.01,Data Warehousing Specialists
100,43-9031.00,Desktop Publishers
100,15-1299.03,Document Management Specialists
100,25-1081.00,"Education Teachers, Postsecondary"
100,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
100,25-1032.00,"Engineering Teachers, Postsecondary"
100,19-2041.00,"Environmental Scientists and Specialists, Including Health"
100,19-1041.00,Epidemiologists
100,25-9021.00,Farm and Home Management Educators
100,27-4032.00,Film and Video Editors
100,11-3031.00,Financial Managers
100,13-2099.01,Financial Quantitative Analysts
100,17-2111.02,Fire-Prevention and Protection Engineers
100,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
100,19-1012.00,Food Scientists and Technologists
100,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
100,13-1131.00,Fundraisers
100,29-9092.00,Genetic Counselors
100,19-3092.00,Geographers
100,25-1064.00,"Geography Teachers, Postsecondary"
100,11-3051.02,Geothermal Production Managers
100,27-1024.00,Graphic Designers
100,21-1091.00,Health Education Specialists
100,15-1211.01,Health Informatics Specialists
100,17-2112.01,Human Factors Engineers and Ergonomists
100,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
