Importance,Level,Code,Occupation
97,84,11-2031.00,Public Relations and Fundraising Managers
96,85,21-1013.00,Marriage and Family Therapists
95,88,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
95,88,13-1131.00,Fundraisers
95,87,11-9161.00,Emergency Management Directors
94,87,21-1094.00,Community Health Workers
94,86,11-3131.00,Training and Development Managers
94,84,11-3121.00,Human Resources Managers
93,89,21-1091.00,Health Educators
93,85,27-2032.00,Choreographers
93,85,29-1141.04,Clinical Nurse Specialists
93,85,11-9032.00,"Education Administrators, Elementary and Secondary School"
93,82,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
93,79,21-1021.00,"Child, Family, and School Social Workers"
93,77,27-2041.01,Music Directors
93,77,29-1125.02,Music Therapists
92,88,19-3032.00,Industrial-Organizational Psychologists
92,84,11-2021.00,Marketing Managers
92,83,13-1151.00,Training and Development Specialists
92,80,27-3011.00,Radio and Television Announcers
92,69,25-9011.00,Audio-Visual and Multimedia Collections Specialists
91,87,25-9031.00,Instructional Coordinators
91,83,29-1141.02,Advanced Practice Psychiatric Nurses
91,83,29-1161.00,Nurse Midwives
91,81,21-2021.00,"Directors, Religious Activities and Education"
91,81,29-1066.00,Psychiatrists
91,80,11-9121.01,Clinical Research Coordinators
90,85,25-9021.00,Farm and Home Management Advisors
90,83,21-1023.00,Mental Health and Substance Abuse Social Workers
90,81,15-1199.08,Business Intelligence Analysts
90,79,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
90,78,39-6012.00,Concierges
90,77,11-9039.02,Fitness and Wellness Coordinators
89,96,33-2021.02,Fire Investigators
89,90,13-1111.00,Management Analysts
89,84,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
89,83,21-1022.00,Healthcare Social Workers
89,80,19-3031.03,Counseling Psychologists
89,80,25-1123.00,"English Language and Literature Teachers, Postsecondary"
89,79,21-1014.00,Mental Health Counselors
89,75,29-2061.00,Licensed Practical and Licensed Vocational Nurses
89,73,27-2011.00,Actors
89,71,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
88,86,11-1011.00,Chief Executives
88,86,13-1075.00,Labor Relations Specialists
88,84,19-3031.02,Clinical Psychologists
88,81,29-1069.01,Allergists and Immunologists
88,80,29-9099.01,Midwives
88,79,29-1171.00,Nurse Practitioners
88,79,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
88,77,43-6011.00,Executive Secretaries and Executive Administrative Assistants
88,77,27-1022.00,Fashion Designers
88,75,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
88,72,41-3011.00,Advertising Sales Agents
87,83,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
87,83,25-2054.00,"Special Education Teachers, Secondary School"
87,81,41-9031.00,Sales Engineers
87,80,29-1125.01,Art Therapists
87,76,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
87,75,29-1031.00,Dietitians and Nutritionists
87,75,13-2052.00,Personal Financial Advisors
87,73,25-4021.00,Librarians
86,88,27-3031.00,Public Relations Specialists
86,86,19-3051.00,Urban and Regional Planners
86,85,25-1066.00,"Psychology Teachers, Postsecondary"
86,83,29-1069.09,Preventive Medicine Physicians
86,78,11-9199.04,Supply Chain Managers
86,77,27-2022.00,Coaches and Scouts
86,77,11-9199.08,Loss Prevention Managers
86,76,27-4014.00,Sound Engineering Technicians
86,75,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
86,74,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
86,72,41-3031.01,"Sales Agents, Securities and Commodities"
86,69,43-4041.01,Credit Authorizers
85,84,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
85,82,11-9199.07,Security Managers
85,80,11-9033.00,"Education Administrators, Postsecondary"
85,80,41-9022.00,Real Estate Sales Agents
85,77,29-1125.00,Recreational Therapists
85,77,29-2099.07,Surgical Assistants
85,76,47-4051.00,Highway Maintenance Workers
85,76,11-9111.00,Medical and Health Services Managers
85,76,29-1071.00,Physician Assistants
85,74,29-1069.03,Hospitalists
85,73,11-3061.00,Purchasing Managers
85,72,13-2072.00,Loan Officers
85,72,41-3031.02,"Sales Agents, Financial Services"
85,70,27-1011.00,Art Directors
85,68,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
84,90,19-1031.02,Range Managers
84,83,11-2022.00,Sales Managers
84,80,33-1011.00,First-Line Supervisors of Correctional Officers
84,79,29-1069.04,Neurologists
84,77,29-1023.00,Orthodontists
84,77,13-1199.05,Sustainability Specialists
84,76,25-2059.01,Adapted Physical Education Specialists
84,76,11-9199.02,Compliance Managers
84,76,29-1151.00,Nurse Anesthetists
84,75,39-9041.00,Residential Advisors
84,72,27-2012.04,Talent Directors
84,71,39-1021.01,Spa Managers
84,70,27-3043.04,Copy Writers
83,82,15-1121.01,Informatics Nurse Specialists
83,81,33-1012.00,First-Line Supervisors of Police and Detectives
83,81,15-1199.09,Information Technology Project Managers
83,80,29-1069.10,Radiologists
83,79,25-1031.00,"Architecture Teachers, Postsecondary"
83,78,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
