Context,Code,Occupation
100,29-1141.01,Acute Care Nurses
100,29-1141.03,Critical Care Nurses
100,29-1216.00,General Internal Medicine Physicians
100,29-1221.00,"Pediatricians, General"
99,29-1292.00,Dental Hygienists
99,29-1022.00,Oral and Maxillofacial Surgeons
98,29-1126.00,Respiratory Therapists
97,29-1071.01,Anesthesiologist Assistants
97,31-1132.00,Orderlies
96,29-2011.00,Medical and Clinical Laboratory Technologists
96,29-1151.00,Nurse Anesthetists
96,29-1229.03,Urologists
95,29-1229.01,Allergists and Immunologists
95,29-1021.00,"Dentists, General"
95,29-1215.00,Family Medicine Physicians
95,29-1229.02,Hospitalists
95,29-1171.00,Nurse Practitioners
95,29-1124.00,Radiation Therapists
94,29-1141.04,Clinical Nurse Specialists
94,29-1218.00,Obstetricians and Gynecologists
94,29-1229.06,Sports Medicine Physicians
93,29-2033.00,Nuclear Medicine Technologists
93,29-1071.00,Physician Assistants
93,29-2053.00,Psychiatric Technicians
92,29-2061.00,Licensed Practical and Licensed Vocational Nurses
92,31-9092.00,Medical Assistants
92,31-9093.00,Medical Equipment Preparers
92,29-1241.00,"Ophthalmologists, Except Pediatric"
91,29-1213.00,Dermatologists
91,31-1133.00,Psychiatric Aides
91,29-2034.00,Radiologic Technologists and Technicians
90,29-1211.00,Anesthesiologists
90,29-1229.04,Physical Medicine and Rehabilitation Physicians
89,29-1161.00,Nurse Midwives
88,31-2011.00,Occupational Therapy Assistants
88,31-9097.00,Phlebotomists
88,29-1024.00,Prosthodontists
87,29-2032.00,Diagnostic Medical Sonographers
87,31-9099.02,Endoscopy Technicians
87,29-1081.00,Podiatrists
87,29-9093.00,Surgical Assistants
86,29-2051.00,Dietetic Technicians
86,31-2022.00,Physical Therapist Aides
85,39-4011.00,Embalmers
85,29-1224.00,Radiologists
85,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
84,29-2035.00,Magnetic Resonance Imaging Technologists
84,29-1299.01,Naturopathic Physicians
83,29-1291.00,Acupuncturists
83,31-2021.00,Physical Therapist Assistants
82,19-1022.00,Microbiologists
82,29-2057.00,Ophthalmic Medical Technicians
82,29-2055.00,Surgical Technologists
81,29-2099.01,Neurodiagnostic Technologists
81,31-1131.00,Nursing Assistants
81,29-1299.02,Orthoptists
81,29-1141.00,Registered Nurses
80,29-1141.02,Advanced Practice Psychiatric Nurses
80,29-1122.00,Occupational Therapists
80,29-1131.00,Veterinarians
79,33-9011.00,Animal Control Workers
79,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
79,29-2099.05,Ophthalmic Medical Technologists
79,29-2056.00,Veterinary Technologists and Technicians
78,31-2012.00,Occupational Therapy Aides
78,29-1023.00,Orthodontists
78,31-9095.00,Pharmacy Aides
77,29-2012.00,Medical and Clinical Laboratory Technicians
77,29-9099.01,Midwives
77,29-1217.00,Neurologists
77,29-1125.00,Recreational Therapists
76,53-2031.00,Flight Attendants
76,29-1051.00,Pharmacists
75,21-1022.00,Healthcare Social Workers
75,29-1041.00,Optometrists
74,29-2031.00,Cardiovascular Technologists and Technicians
73,29-1181.00,Audiologists
73,43-5021.00,Couriers and Messengers
73,29-2011.02,Cytotechnologists
72,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
72,29-9091.00,Athletic Trainers
72,33-3012.00,Correctional Officers and Jailers
72,29-2011.01,Cytogenetic Technologists
72,51-9081.00,Dental Laboratory Technicians
71,33-1011.00,First-Line Supervisors of Correctional Officers
70,29-1129.02,Music Therapists
70,29-2099.08,Patient Representatives
70,29-1222.00,"Physicians, Pathologists"
70,29-1223.00,Psychiatrists
69,13-1041.06,Coroners
69,33-3051.00,Police and Sheriff's Patrol Officers
68,25-2012.00,"Kindergarten Teachers, Except Special Education"
67,31-9091.00,Dental Assistants
67,29-2091.00,Orthotists and Prosthetists
67,29-1123.00,Physical Therapists
66,19-4092.00,Forensic Science Technicians
65,29-1031.00,Dietitians and Nutritionists
65,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
64,39-2021.00,Animal Caretakers
63,33-3051.04,Customs and Border Protection Officers
