Context,Code,Occupation
100,29-9091.00,Athletic Trainers
100,11-3051.04,Biomass Power Plant Managers
100,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
100,51-8091.00,Chemical Plant and System Operators
100,11-1011.00,Chief Executives
100,29-1011.00,Chiropractors
100,19-3031.02,Clinical Psychologists
100,27-1021.00,Commercial and Industrial Designers
100,19-3031.03,Counseling Psychologists
100,41-2021.00,Counter and Rental Clerks
100,43-4041.01,Credit Authorizers
100,29-1021.00,"Dentists, General"
100,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
100,49-9051.00,Electrical Power-Line Installers and Repairers
100,17-3029.03,Electromechanical Engineering Technologists
100,11-3031.02,"Financial Managers, Branch or Department"
100,33-2021.01,Fire Inspectors
100,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
100,19-4093.00,Forest and Conservation Technicians
100,29-9092.00,Genetic Counselors
100,21-1022.00,Healthcare Social Workers
100,47-3013.00,Helpers--Electricians
100,29-1069.03,Hospitalists
100,29-1063.00,"Internists, General"
100,53-4012.00,Locomotive Firers
100,51-4061.00,"Model Makers, Metal and Plastic"
100,29-1069.04,Neurologists
100,19-4051.01,Nuclear Equipment Operation Technicians
100,19-4051.02,Nuclear Monitoring Technicians
100,51-8011.00,Nuclear Power Reactor Operators
100,29-1151.00,Nurse Anesthetists
100,29-1064.00,Obstetricians and Gynecologists
100,29-1069.06,Ophthalmologists
100,29-2091.00,Orthotists and Prosthetists
100,51-4062.00,"Patternmakers, Metal and Plastic"
100,29-1123.00,Physical Therapists
100,29-1071.00,Physician Assistants
100,29-1024.00,Prosthodontists
100,11-2031.00,Public Relations and Fundraising Managers
100,11-3051.01,Quality Control Systems Managers
100,29-1125.00,Recreational Therapists
100,25-2051.00,"Special Education Teachers, Preschool"
100,11-3071.01,Transportation Managers
100,29-1069.12,Urologists
99,29-1141.01,Acute Care Nurses
99,29-1141.02,Advanced Practice Psychiatric Nurses
99,53-1011.00,Aircraft Cargo Handling Supervisors
99,53-2022.00,Airfield Operations Specialists
99,11-9013.03,Aquacultural Managers
99,17-3011.01,Architectural Drafters
99,27-1011.00,Art Directors
99,53-6031.00,Automotive and Watercraft Service Attendants
99,17-2141.02,Automotive Engineers
99,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
99,21-1021.00,"Child, Family, and School Social Workers"
99,17-3022.00,Civil Engineering Technicians
99,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
99,29-1141.03,Critical Care Nurses
99,51-2023.00,Electromechanical Equipment Assemblers
99,29-1128.00,Exercise Physiologists
99,45-1011.06,First-Line Supervisors of Aquacultural Workers
99,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
99,41-1011.00,First-Line Supervisors of Retail Sales Workers
99,11-9071.00,Gaming Managers
99,11-1021.00,General and Operations Managers
99,11-3051.02,Geothermal Production Managers
99,11-3121.00,Human Resources Managers
99,17-3029.05,Industrial Engineering Technologists
99,25-9031.00,Instructional Coordinators
99,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
99,49-9094.00,Locksmiths and Safe Repairers
99,21-1013.00,Marriage and Family Therapists
99,17-3027.00,Mechanical Engineering Technicians
99,49-9044.00,Millwrights
99,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
99,29-1161.00,Nurse Midwives
99,29-1122.00,Occupational Therapists
99,31-2012.00,Occupational Therapy Aides
99,29-1022.00,Oral and Maxillofacial Surgeons
99,19-1031.03,Park Naturalists
99,29-1051.00,Pharmacists
99,31-2022.00,Physical Therapist Aides
99,33-3051.01,Police Patrol Officers
99,27-2012.01,Producers
99,25-1066.00,"Psychology Teachers, Postsecondary"
99,47-5061.00,"Roof Bolters, Mining"
99,47-5012.00,"Rotary Drill Operators, Oil and Gas"
99,41-3031.03,Securities and Commodities Traders
99,47-4091.00,Segmental Pavers
99,39-1021.01,Spa Managers
99,29-1069.11,Sports Medicine Physicians
99,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
98,11-3011.00,Administrative Services Managers
98,17-2011.00,Aerospace Engineers
98,29-1061.00,Anesthesiologists
98,29-1181.00,Audiologists
98,33-3011.00,Bailiffs
98,11-3051.03,Biofuels Production Managers
98,51-8099.03,Biomass Plant Technicians
98,19-4061.01,City and Regional Planning Aides
98,11-3111.00,Compensation and Benefits Managers
98,35-2011.00,"Cooks, Fast Food"
98,29-1031.00,Dietitians and Nutritionists
98,53-7031.00,Dredge Operators
98,51-9194.00,Etchers and Engravers
98,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
98,13-2061.00,Financial Examiners
98,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
98,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
98,39-1011.00,Gaming Supervisors
98,25-1071.00,"Health Specialties Teachers, Postsecondary"
98,13-1071.00,Human Resources Specialists
98,41-3021.00,Insurance Sales Agents
98,27-1025.00,Interior Designers
98,23-1011.00,Lawyers
98,29-2061.00,Licensed Practical and Licensed Vocational Nurses
98,13-1081.01,Logistics Engineers
98,17-3029.06,Manufacturing Engineering Technologists
98,17-2141.00,Mechanical Engineers
98,29-2012.00,Medical and Clinical Laboratory Technicians
98,11-9111.00,Medical and Health Services Managers
98,13-1121.00,"Meeting, Convention, and Event Planners"
98,43-4031.02,Municipal Clerks
98,29-1199.04,Naturopathic Physicians
98,29-1069.05,Nuclear Medicine Physicians
98,29-2099.05,Ophthalmic Medical Technologists
98,29-1041.00,Optometrists
98,29-1023.00,Orthodontists
98,43-4051.03,Patient Representatives
98,11-9131.00,Postmasters and Mail Superintendents
98,29-1066.00,Psychiatrists
98,53-4031.00,Railroad Conductors and Yardmasters
98,29-1126.00,Respiratory Therapists
98,47-5071.00,"Roustabouts, Oil and Gas"
98,53-5021.01,Ship and Boat Captains
98,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
98,11-9199.04,Supply Chain Managers
98,29-1067.00,Surgeons
98,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
98,11-3031.01,Treasurers and Controllers
97,11-2011.00,Advertising and Promotions Managers
97,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
97,11-9041.00,Architectural and Engineering Managers
97,17-3027.01,Automotive Engineering Technicians
97,49-3022.00,Automotive Glass Installers and Repairers
97,51-8099.01,Biofuels Processing Technicians
97,19-1029.01,Bioinformatics Scientists
97,25-1042.00,"Biological Science Teachers, Postsecondary"
97,51-7011.00,Cabinetmakers and Bench Carpenters
97,25-2032.00,"Career/Technical Education Teachers, Secondary School"
97,35-1011.00,Chefs and Head Cooks
97,47-2031.01,Construction Carpenters
97,27-3043.04,Copy Writers
97,29-2021.00,Dental Hygienists
97,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
97,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
97,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
97,49-3041.00,Farm Equipment Mechanics and Service Technicians
97,45-1011.05,First-Line Supervisors of Logging Workers
97,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
97,33-1012.00,First-Line Supervisors of Police and Detectives
97,33-2022.00,Forest Fire Inspectors and Prevention Specialists
97,13-1131.00,Fundraisers
97,47-2121.00,Glaziers
97,21-1091.00,Health Educators
