Importance,Level,Code,Occupation
89,84,11-1011.00,Chief Executives
89,81,27-2032.00,Choreographers
88,85,49-9095.00,Manufactured Building and Mobile Home Installers
86,80,33-1012.00,First-Line Supervisors of Police and Detectives
86,77,11-9032.00,"Education Administrators, Kindergarten through Secondary"
85,82,11-9161.00,Emergency Management Directors
85,80,27-2012.03,Media Programming Directors
85,78,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
85,71,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
84,69,11-3051.04,Biomass Power Plant Managers
84,67,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
83,81,11-9111.00,Medical and Health Services Managers
83,76,11-3131.00,Training and Development Managers
82,78,15-1299.09,Information Technology Project Managers
82,71,11-9199.09,Wind Energy Operations Managers
82,65,11-9041.00,Architectural and Engineering Managers
81,80,33-1011.00,First-Line Supervisors of Correctional Officers
81,76,11-3121.00,Human Resources Managers
81,72,11-9071.00,Gambling Managers
80,69,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
80,66,29-1021.00,"Dentists, General"
79,80,11-3071.04,Supply Chain Managers
79,77,11-9131.00,Postmasters and Mail Superintendents
79,75,11-2022.00,Sales Managers
79,74,35-1011.00,Chefs and Head Cooks
79,73,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
79,68,11-1021.00,General and Operations Managers
79,66,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
79,65,51-1011.00,First-Line Supervisors of Production and Operating Workers
77,69,11-9121.00,Natural Sciences Managers
77,68,21-2021.00,"Directors, Religious Activities and Education"
77,68,11-3031.00,Financial Managers
77,64,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
76,74,11-3051.03,Biofuels Production Managers
76,69,53-1041.00,Aircraft Cargo Handling Supervisors
76,67,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
76,66,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
76,63,29-1141.00,Registered Nurses
76,60,11-9179.02,Spa Managers
75,72,11-3021.00,Computer and Information Systems Managers
75,61,27-1022.00,Fashion Designers
74,74,25-1066.00,"Psychology Teachers, Postsecondary"
74,72,11-3071.00,"Transportation, Storage, and Distribution Managers"
74,71,29-1229.05,Preventive Medicine Physicians
74,71,53-1042.01,Recycling Coordinators
74,70,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
