Importance,Level,Code,Occupation
94,90,47-5081.00,Helpers--Extraction Workers
91,94,47-2022.00,Stonemasons
90,88,47-2151.00,Pipelayers
90,80,45-2041.00,"Graders and Sorters, Agricultural Products"
89,92,49-9095.00,Manufactured Building and Mobile Home Installers
89,90,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
89,86,53-3031.00,Driver/Sales Workers
89,84,47-2011.00,Boilermakers
88,92,49-9044.00,Millwrights
88,88,47-2121.00,Glaziers
88,80,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
87,94,47-2041.00,Carpet Installers
87,87,49-9081.00,Wind Turbine Service Technicians
87,86,47-2171.00,Reinforcing Iron and Rebar Workers
87,86,47-2231.00,Solar Photovoltaic Installers
86,93,47-4021.00,Elevator and Escalator Installers and Repairers
86,91,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
86,89,51-9191.00,Adhesive Bonding Machine Operators and Tenders
86,78,29-2055.00,Surgical Technologists
86,73,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
85,91,49-9051.00,Electrical Power-Line Installers and Repairers
85,90,47-2221.00,Structural Iron and Steel Workers
85,87,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
85,87,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
85,82,51-2092.00,Team Assemblers
85,81,47-2072.00,Pile Driver Operators
85,73,53-7051.00,Industrial Truck and Tractor Operators
84,94,47-5071.00,"Roustabouts, Oil and Gas"
84,89,39-6011.00,Baggage Porters and Bellhops
84,86,47-5012.00,"Rotary Drill Operators, Oil and Gas"
84,84,51-9195.05,"Potters, Manufacturing"
84,81,47-3012.00,Helpers--Carpenters
84,79,51-9197.00,Tire Builders
84,78,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
84,76,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
83,90,39-4011.00,Embalmers
83,88,51-2031.00,Engine and Other Machine Assemblers
83,86,47-2051.00,Cement Masons and Concrete Finishers
83,84,47-4091.00,Segmental Pavers
83,83,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
83,83,29-9093.00,Surgical Assistants
83,82,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
83,78,53-7064.00,"Packers and Packagers, Hand"
82,83,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
82,78,31-9099.02,Endoscopy Technicians
82,72,51-4071.00,Foundry Mold and Coremakers
81,94,47-2181.00,Roofers
81,85,47-2044.00,Tile and Stone Setters
81,84,31-9093.00,Medical Equipment Preparers
81,84,49-3052.00,Motorcycle Mechanics
81,83,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
81,83,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
81,83,31-1132.00,Orderlies
81,82,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
81,81,49-3091.00,Bicycle Repairers
81,79,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
81,78,53-5011.00,Sailors and Marine Oilers
80,92,45-4021.00,Fallers
80,90,51-4192.00,"Layout Workers, Metal and Plastic"
80,88,49-9092.00,Commercial Divers
80,85,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
80,85,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
80,85,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
80,83,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
80,80,27-1026.00,Merchandise Displayers and Window Trimmers
80,79,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
80,72,51-9141.00,Semiconductor Processing Technicians
80,70,19-4013.00,Food Science Technicians
79,89,47-2021.00,Brickmasons and Blockmasons
79,88,47-2053.00,Terrazzo Workers and Finishers
79,86,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
79,85,51-9198.00,Helpers--Production Workers
79,84,33-2011.00,Firefighters
79,79,53-7041.00,Hoist and Winch Operators
