Importance,Level,Code,Occupation
94,72,37-3013.00,Tree Trimmers and Pruners
94,62,53-5011.00,Sailors and Marine Oilers
93,68,51-8021.00,Stationary Engineers and Boiler Operators
93,62,49-9095.00,Manufactured Building and Mobile Home Installers
92,85,53-6051.01,Aviation Inspectors
92,75,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
91,69,53-5021.02,"Mates- Ship, Boat, and Barge"
91,67,33-2011.01,Municipal Firefighters
91,62,49-9081.00,Wind Turbine Service Technicians
90,85,19-4051.01,Nuclear Equipment Operation Technicians
90,72,29-1124.00,Radiation Therapists
90,71,47-5021.00,"Earth Drillers, Except Oil and Gas"
90,65,47-4011.00,Construction and Building Inspectors
90,60,49-9097.00,Signal and Track Switch Repairers
90,57,53-7081.00,Refuse and Recyclable Material Collectors
89,76,29-2054.00,Respiratory Therapy Technicians
89,72,47-2072.00,Pile-Driver Operators
89,71,47-5012.00,"Rotary Drill Operators, Oil and Gas"
89,68,49-9051.00,Electrical Power-Line Installers and Repairers
89,68,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
89,68,53-7121.00,"Tank Car, Truck, and Ship Loaders"
89,50,51-2092.00,Team Assemblers
88,76,53-2012.00,Commercial Pilots
88,71,49-3011.00,Aircraft Mechanics and Service Technicians
88,65,47-5071.00,"Roustabouts, Oil and Gas"
88,64,47-5061.00,"Roof Bolters, Mining"
88,63,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
88,61,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
88,58,47-2073.00,Operating Engineers and Other Construction Equipment Operators
87,75,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
87,69,51-8099.04,Hydroelectric Plant Technicians
87,63,31-9099.02,Endoscopy Technicians
87,61,53-4011.00,Locomotive Engineers
86,76,17-3029.01,Non-Destructive Testing Specialists
86,75,53-5021.01,Ship and Boat Captains
86,71,53-7111.00,Mine Shuttle Car Operators
86,68,29-1151.00,Nurse Anesthetists
86,68,53-4021.00,"Railroad Brake, Signal, and Switch Operators"
86,66,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
86,63,29-1126.00,Respiratory Therapists
86,61,53-5031.00,Ship Engineers
86,57,29-2041.00,Emergency Medical Technicians and Paramedics
86,55,51-9122.00,"Painters, Transportation Equipment"
86,55,47-2151.00,Pipelayers
85,80,31-9093.00,Medical Equipment Preparers
85,77,49-9044.00,Millwrights
85,74,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
85,71,47-5081.00,Helpers--Extraction Workers
85,69,33-2021.02,Fire Investigators
85,68,29-2055.00,Surgical Technologists
85,66,53-7032.00,Excavating and Loading Machine and Dragline Operators
85,59,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
85,58,53-7033.00,"Loading Machine Operators, Underground Mining"
85,53,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
85,48,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
84,61,53-7051.00,Industrial Truck and Tractor Operators
84,60,53-7073.00,Wellhead Pumpers
84,49,51-9191.00,Adhesive Bonding Machine Operators and Tenders
83,75,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
83,73,29-2099.07,Surgical Assistants
83,70,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
83,67,47-2051.00,Cement Masons and Concrete Finishers
83,63,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
82,70,47-5042.00,Mine Cutting and Channeling Machine Operators
82,68,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
82,67,29-1071.01,Anesthesiologist Assistants
82,67,51-8013.00,Power Plant Operators
82,66,49-9099.01,Geothermal Technicians
82,66,17-2111.03,Product Safety Engineers
82,65,49-9062.00,Medical Equipment Repairers
82,62,51-8012.00,Power Distributors and Dispatchers
82,58,45-1011.05,First-Line Supervisors of Logging Workers
82,57,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
82,57,17-3027.00,Mechanical Engineering Technicians
82,48,45-2091.00,Agricultural Equipment Operators
81,69,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
81,68,11-3051.06,Hydroelectric Production Managers
81,63,53-7021.00,Crane and Tower Operators
81,63,47-4051.00,Highway Maintenance Workers
81,62,49-9021.01,Heating and Air Conditioning Mechanics and Installers
81,60,33-2021.01,Fire Inspectors
81,60,47-2152.01,Pipe Fitters and Steamfitters
81,59,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
81,57,47-2221.00,Structural Iron and Steel Workers
81,55,47-2231.00,Solar Photovoltaic Installers
81,53,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
81,51,49-3043.00,Rail Car Repairers
81,49,49-9043.00,"Maintenance Workers, Machinery"
