Importance,Level,Code,Occupation
97,94,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
96,84,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
95,93,53-2012.00,Commercial Pilots
95,81,49-9051.00,Electrical Power-Line Installers and Repairers
94,74,47-2073.00,Operating Engineers and Other Construction Equipment Operators
93,82,47-5081.00,Helpers--Extraction Workers
93,67,53-5022.00,Motorboat Operators
93,65,53-3021.00,"Bus Drivers, Transit and Intercity"
92,83,45-4022.00,Logging Equipment Operators
92,74,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
92,63,33-3031.00,Fish and Game Wardens
92,58,33-3051.01,Police Patrol Officers
92,54,53-3041.00,Taxi Drivers and Chauffeurs
91,82,53-5021.01,Ship and Boat Captains
91,79,53-7032.00,Excavating and Loading Machine and Dragline Operators
90,92,49-9095.00,Manufactured Building and Mobile Home Installers
90,79,47-2072.00,Pile-Driver Operators
90,71,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
90,66,53-7051.00,Industrial Truck and Tractor Operators
90,66,53-7111.00,Mine Shuttle Car Operators
90,65,53-7081.00,Refuse and Recyclable Material Collectors
89,64,37-3013.00,Tree Trimmers and Pruners
89,62,33-2011.01,Municipal Firefighters
88,62,33-1021.02,Forest Fire Fighting and Prevention Supervisors
88,60,47-2151.00,Pipelayers
87,66,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
87,57,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
87,55,49-3052.00,Motorcycle Mechanics
87,54,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
86,76,53-4011.00,Locomotive Engineers
86,71,47-5061.00,"Roof Bolters, Mining"
86,68,53-5021.02,"Mates- Ship, Boat, and Barge"
86,67,45-1011.05,First-Line Supervisors of Logging Workers
86,65,53-4041.00,Subway and Streetcar Operators
86,64,45-2091.00,Agricultural Equipment Operators
86,54,49-3023.01,Automotive Master Mechanics
85,79,53-5021.03,"Pilots, Ship"
85,69,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
85,58,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
85,56,19-4093.00,Forest and Conservation Technicians
84,56,33-3041.00,Parking Enforcement Workers
84,54,45-1011.06,First-Line Supervisors of Aquacultural Workers
84,52,33-2022.00,Forest Fire Inspectors and Prevention Specialists
83,69,53-4012.00,Locomotive Firers
83,64,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
83,60,53-7033.00,"Loading Machine Operators, Underground Mining"
83,51,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
82,66,29-2041.00,Emergency Medical Technicians and Paramedics
82,54,39-6011.00,Baggage Porters and Bellhops
81,71,47-5042.00,Mine Cutting and Channeling Machine Operators
81,69,53-7021.00,Crane and Tower Operators
81,53,47-4091.00,Segmental Pavers
81,51,53-3033.00,Light Truck or Delivery Services Drivers
81,50,47-2011.00,Boilermakers
81,47,53-7071.00,Gas Compressor and Gas Pumping Station Operators
80,72,33-2011.02,Forest Firefighters
80,63,47-5021.00,"Earth Drillers, Except Oil and Gas"
80,63,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
80,58,49-3041.00,Farm Equipment Mechanics and Service Technicians
80,54,49-9021.02,Refrigeration Mechanics and Installers
80,50,43-5052.00,Postal Service Mail Carriers
80,47,49-9011.00,Mechanical Door Repairers
80,46,33-9011.00,Animal Control Workers
80,46,49-9052.00,Telecommunications Line Installers and Repairers
80,45,37-2021.00,Pest Control Workers
79,67,47-5041.00,Continuous Mining Machine Operators
79,61,53-7121.00,"Tank Car, Truck, and Ship Loaders"
79,51,53-2022.00,Airfield Operations Specialists
79,46,33-3052.00,Transit and Railroad Police
78,75,53-7041.00,Hoist and Winch Operators
78,57,53-7073.00,Wellhead Pumpers
78,54,49-3051.00,Motorboat Mechanics and Service Technicians
78,48,19-1031.02,Range Managers
78,46,49-9031.00,Home Appliance Repairers
78,43,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
77,59,51-8099.04,Hydroelectric Plant Technicians
77,53,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
77,50,53-3031.00,Driver/Sales Workers
77,46,49-3093.00,Tire Repairers and Changers
76,67,47-4051.00,Highway Maintenance Workers
76,65,47-5012.00,"Rotary Drill Operators, Oil and Gas"
76,63,49-3011.00,Aircraft Mechanics and Service Technicians
