Context,Code,Occupation
100,27-2032.00,Choreographers
100,29-2021.00,Dental Hygienists
100,29-1123.00,Physical Therapists
100,29-1069.11,Sports Medicine Physicians
99,31-9091.00,Dental Assistants
99,29-1021.00,"Dentists, General"
99,29-1022.00,Oral and Maxillofacial Surgeons
99,39-5094.00,Skincare Specialists
99,29-2055.00,Surgical Technologists
99,29-1069.12,Urologists
98,27-2031.00,Dancers
98,29-1069.02,Dermatologists
98,29-1024.00,Prosthodontists
98,29-1124.00,Radiation Therapists
98,29-2054.00,Respiratory Therapy Technicians
97,29-2031.00,Cardiovascular Technologists and Technicians
97,29-2041.00,Emergency Medical Technicians and Paramedics
97,29-1161.00,Nurse Midwives
97,29-1064.00,Obstetricians and Gynecologists
97,31-1015.00,Orderlies
97,29-1067.00,Surgeons
97,29-2099.07,Surgical Assistants
96,29-1011.00,Chiropractors
96,53-2031.00,Flight Attendants
96,29-2099.06,Radiologic Technicians
95,27-2011.00,Actors
95,29-1141.01,Acute Care Nurses
95,39-5011.00,Barbers
95,29-2032.00,Diagnostic Medical Sonographers
95,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
95,29-1122.00,Occupational Therapists
95,31-2022.00,Physical Therapist Aides
95,29-1081.00,Podiatrists
94,29-1061.00,Anesthesiologists
94,29-1141.03,Critical Care Nurses
94,29-9099.01,Midwives
94,29-2099.01,Neurodiagnostic Technologists
94,29-2099.05,Ophthalmic Medical Technologists
94,31-2021.00,Physical Therapist Assistants
94,29-1141.00,Registered Nurses
94,27-2042.01,Singers
93,29-9091.00,Athletic Trainers
93,29-1128.00,Exercise Physiologists
93,29-1126.00,Respiratory Therapists
93,53-6061.00,"Transportation Attendants, Except Flight Attendants"
92,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
92,29-1069.03,Hospitalists
92,29-1069.06,Ophthalmologists
92,29-1023.00,Orthodontists
92,29-2056.00,Veterinary Technologists and Technicians
91,29-1199.01,Acupuncturists
91,29-1062.00,Family and General Practitioners
91,31-1014.00,Nursing Assistants
91,31-2012.00,Occupational Therapy Aides
91,29-1199.05,Orthoptists
91,29-1069.08,Physical Medicine and Rehabilitation Physicians
91,39-5093.00,Shampooers
91,29-1131.00,Veterinarians
90,25-2059.01,Adapted Physical Education Specialists
90,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
90,29-2061.00,Licensed Practical and Licensed Vocational Nurses
90,39-5092.00,Manicurists and Pedicurists
90,29-2057.00,Ophthalmic Medical Technicians
90,29-1041.00,Optometrists
89,29-1063.00,"Internists, General"
89,31-9011.00,Massage Therapists
89,33-2011.01,Municipal Firefighters
89,29-1065.00,"Pediatricians, General"
89,31-1013.00,Psychiatric Aides
89,29-2034.00,Radiologic Technologists
89,47-5071.00,"Roustabouts, Oil and Gas"
88,29-1071.01,Anesthesiologist Assistants
88,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
88,39-3011.00,Gaming Dealers
88,31-9092.00,Medical Assistants
88,29-1125.02,Music Therapists
88,29-1199.04,Naturopathic Physicians
88,29-2091.00,Orthotists and Prosthetists
88,29-1071.00,Physician Assistants
88,25-9041.00,Teacher Assistants
88,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
87,47-5011.00,"Derrick Operators, Oil and Gas"
87,39-1021.00,First-Line Supervisors of Personal Service Workers
87,29-1151.00,Nurse Anesthetists
87,47-2151.00,Pipelayers
87,25-2051.00,"Special Education Teachers, Preschool"
87,47-2221.00,Structural Iron and Steel Workers
86,47-2051.00,Cement Masons and Concrete Finishers
86,25-2012.00,"Kindergarten Teachers, Except Special Education"
86,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
86,39-5091.00,"Makeup Artists, Theatrical and Performance"
86,29-2033.00,Nuclear Medicine Technologists
86,39-9021.00,Personal Care Aides
86,33-9093.00,Transportation Security Screeners
85,39-3012.00,Gaming and Sports Book Writers and Runners
85,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
85,29-1171.00,Nurse Practitioners
85,29-2053.00,Psychiatric Technicians
85,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
84,29-1069.01,Allergists and Immunologists
84,39-3091.00,Amusement and Recreation Attendants
84,53-3022.00,"Bus Drivers, School or Special Client"
84,39-1011.00,Gaming Supervisors
84,45-2041.00,"Graders and Sorters, Agricultural Products"
84,31-1011.00,Home Health Aides
84,29-1125.00,Recreational Therapists
84,43-5081.01,"Stock Clerks, Sales Floor"
83,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
83,47-2021.00,Brickmasons and Blockmasons
83,13-1041.06,Coroners
83,31-9099.02,Endoscopy Technicians
83,51-2091.00,Fiberglass Laminators and Fabricators
83,39-9031.00,Fitness Trainers and Aerobics Instructors
83,29-2081.00,"Opticians, Dispensing"
83,29-2052.00,Pharmacy Technicians
83,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
82,53-2021.00,Air Traffic Controllers
82,39-9011.00,Childcare Workers
82,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
82,27-2042.02,"Musicians, Instrumental"
82,31-2011.00,Occupational Therapy Assistants
82,31-9095.00,Pharmacy Aides
82,43-5051.00,Postal Service Clerks
82,39-1021.01,Spa Managers
82,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
81,35-1011.00,Chefs and Head Cooks
81,53-2012.00,Commercial Pilots
81,47-2031.01,Construction Carpenters
81,35-2014.00,"Cooks, Restaurant"
81,33-3012.00,Correctional Officers and Jailers
81,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
81,25-2053.00,"Special Education Teachers, Middle School"
81,25-3099.02,Tutors
80,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
80,33-3011.00,Bailiffs
80,29-1141.04,Clinical Nurse Specialists
80,47-5081.00,Helpers--Extraction Workers
80,33-3021.05,Immigration and Customs Inspectors
80,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
80,47-5012.00,"Rotary Drill Operators, Oil and Gas"
80,39-1012.00,Slot Supervisors
80,47-2022.00,Stonemasons
79,35-3011.00,Bartenders
79,25-2021.00,"Elementary School Teachers, Except Special Education"
79,39-4021.00,Funeral Attendants
79,29-2092.00,Hearing Aid Specialists
79,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
79,53-5022.00,Motorboat Operators
79,29-1069.04,Neurologists
79,47-2031.02,Rough Carpenters
79,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
79,33-3051.03,Sheriffs and Deputy Sheriffs
