Importance,Level,Code,Occupation
96,96,13-1111.00,Management Analysts
87,74,23-1011.00,Lawyers
86,85,11-3121.00,Human Resources Managers
86,82,29-1217.00,Neurologists
85,73,29-1229.03,Urologists
83,86,19-3032.00,Industrial-Organizational Psychologists
83,78,15-1299.08,Computer Systems Engineers/Architects
83,73,29-1022.00,Oral and Maxillofacial Surgeons
82,78,29-1141.02,Advanced Practice Psychiatric Nurses
82,78,29-1224.00,Radiologists
81,78,29-1229.06,Sports Medicine Physicians
80,78,29-1291.00,Acupuncturists
80,63,21-1023.00,Mental Health and Substance Abuse Social Workers
79,80,17-2112.01,Human Factors Engineers and Ergonomists
78,80,11-3131.00,Training and Development Managers
78,71,29-1229.04,Physical Medicine and Rehabilitation Physicians
77,81,13-1151.00,Training and Development Specialists
77,77,15-1243.00,Database Architects
77,75,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
77,74,19-5011.00,Occupational Health and Safety Specialists
77,69,29-1071.00,Physician Assistants
77,68,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
76,83,13-1199.05,Sustainability Specialists
76,79,11-9199.01,Regulatory Affairs Managers
76,76,11-2022.00,Sales Managers
76,75,29-1024.00,Prosthodontists
75,81,15-2031.00,Operations Research Analysts
75,79,15-1299.09,Information Technology Project Managers
75,77,29-1141.04,Clinical Nurse Specialists
75,77,11-9161.00,Emergency Management Directors
75,77,15-1211.01,Health Informatics Specialists
75,75,13-1161.01,Search Marketing Strategists
75,74,19-5012.00,Occupational Health and Safety Technicians
74,77,19-1011.00,Animal Scientists
74,77,29-1229.05,Preventive Medicine Physicians
74,76,11-3111.00,Compensation and Benefits Managers
74,73,17-2199.03,"Energy Engineers, Except Wind and Solar"
74,73,17-2111.02,Fire-Prevention and Protection Engineers
74,72,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
74,70,29-1229.02,Hospitalists
74,70,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
73,83,13-1161.00,Market Research Analysts and Marketing Specialists
73,76,11-1011.03,Chief Sustainability Officers
73,75,11-9032.00,"Education Administrators, Kindergarten through Secondary"
73,75,29-1171.00,Nurse Practitioners
73,73,13-1131.00,Fundraisers
73,72,11-9111.00,Medical and Health Services Managers
73,71,13-1199.04,Business Continuity Planners
73,71,33-1012.00,First-Line Supervisors of Police and Detectives
73,69,29-1181.00,Audiologists
72,78,19-1041.00,Epidemiologists
72,73,29-1241.00,"Ophthalmologists, Except Pediatric"
72,70,29-1223.00,Psychiatrists
71,77,27-3031.00,Public Relations Specialists
71,76,15-2011.00,Actuaries
71,76,15-2041.00,Statisticians
71,72,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
71,72,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
71,72,25-9031.00,Instructional Coordinators
71,72,17-2051.02,Water/Wastewater Engineers
71,67,13-2052.00,Personal Financial Advisors
71,66,29-1051.00,Pharmacists
71,64,19-2041.02,Environmental Restoration Planners
71,63,29-1031.00,Dietitians and Nutritionists
70,71,13-1081.00,Logisticians
70,70,15-2041.01,Biostatisticians
70,70,17-2199.10,Wind Energy Engineers
70,69,13-1075.00,Labor Relations Specialists
70,65,25-1066.00,"Psychology Teachers, Postsecondary"
70,62,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
70,62,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
70,57,29-2051.00,Dietetic Technicians
69,73,25-1032.00,"Engineering Teachers, Postsecondary"
69,66,13-1041.07,Regulatory Affairs Specialists
69,65,15-1241.01,Telecommunications Engineering Specialists
69,64,29-1222.00,"Physicians, Pathologists"
69,63,29-9099.01,Midwives
68,80,19-1029.04,Biologists
68,78,15-1241.00,Computer Network Architects
68,75,17-2141.02,Automotive Engineers
68,74,11-3031.01,Treasurers and Controllers
68,70,15-2051.01,Business Intelligence Analysts
68,70,13-2099.04,"Fraud Examiners, Investigators and Analysts"
68,69,11-3061.00,Purchasing Managers
68,67,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
68,66,25-1021.00,"Computer Science Teachers, Postsecondary"
68,64,29-1229.01,Allergists and Immunologists
68,62,29-1151.00,Nurse Anesthetists
68,48,11-9179.02,Spa Managers
67,78,17-2171.00,Petroleum Engineers
67,75,25-1082.00,"Library Science Teachers, Postsecondary"
67,74,11-3071.04,Supply Chain Managers
67,71,17-2031.00,Bioengineers and Biomedical Engineers
67,71,19-3099.01,Transportation Planners
67,70,17-2021.00,Agricultural Engineers
67,70,19-1013.00,Soil and Plant Scientists
67,68,33-3021.06,Intelligence Analysts
67,67,11-9199.02,Compliance Managers
67,64,29-1023.00,Orthodontists
67,61,27-2022.00,Coaches and Scouts
67,59,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
67,59,29-1081.00,Podiatrists
67,59,25-2058.00,"Special Education Teachers, Secondary School"
67,49,13-1071.00,Human Resources Specialists
66,77,11-1011.00,Chief Executives
66,76,19-2041.03,Industrial Ecologists
66,74,17-2061.00,Computer Hardware Engineers
66,71,29-1161.00,Nurse Midwives
66,67,19-2032.00,Materials Scientists
66,66,11-9179.01,Fitness and Wellness Coordinators
66,66,17-2051.01,Transportation Engineers
66,65,15-1299.03,Document Management Specialists
66,65,17-3027.00,Mechanical Engineering Technologists and Technicians
66,64,41-9022.00,Real Estate Sales Agents
66,63,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
66,59,25-1113.00,"Social Work Teachers, Postsecondary"
65,74,11-9199.09,Wind Energy Operations Managers
65,73,17-2112.02,Validation Engineers
65,71,19-4012.01,Precision Agriculture Technicians
65,70,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
65,70,13-1081.01,Logistics Engineers
65,70,11-9121.02,Water Resource Specialists
65,69,27-2012.03,Media Programming Directors
65,68,19-3022.00,Survey Researchers
65,67,17-2081.00,Environmental Engineers
65,65,29-9092.00,Genetic Counselors
65,64,35-1011.00,Chefs and Head Cooks
65,64,25-9021.00,Farm and Home Management Educators
65,63,33-1011.00,First-Line Supervisors of Correctional Officers
65,62,13-1121.00,"Meeting, Convention, and Event Planners"
65,61,13-1041.08,Customs Brokers
65,57,39-2011.00,Animal Trainers
65,53,21-2011.00,Clergy
65,53,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
64,75,17-2041.00,Chemical Engineers
64,70,25-1042.00,"Biological Science Teachers, Postsecondary"
64,70,15-1299.01,Web Administrators
64,69,19-3051.00,Urban and Regional Planners
64,68,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
64,67,19-3033.00,Clinical and Counseling Psychologists
64,67,17-2072.01,Radio Frequency Identification Device Specialists
64,66,11-9199.08,Loss Prevention Managers
64,62,21-1022.00,Healthcare Social Workers
64,61,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
64,61,29-1041.00,Optometrists
64,59,11-3051.02,Geothermal Production Managers
64,56,39-9032.00,Recreation Workers
64,54,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
64,50,47-2061.00,Construction Laborers
63,72,17-2011.00,Aerospace Engineers
63,71,25-1031.00,"Architecture Teachers, Postsecondary"
63,70,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
63,69,17-1012.00,Landscape Architects
63,68,13-1051.00,Cost Estimators
63,66,17-2051.00,Civil Engineers
63,66,21-1091.00,Health Education Specialists
63,64,25-1011.00,"Business Teachers, Postsecondary"
63,64,11-9033.00,"Education Administrators, Postsecondary"
63,64,19-2043.00,Hydrologists
63,64,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
63,62,19-2041.00,"Environmental Scientists and Specialists, Including Health"
63,62,25-1054.00,"Physics Teachers, Postsecondary"
63,60,11-3031.00,Financial Managers
63,59,25-2059.01,Adapted Physical Education Specialists
63,57,29-1128.00,Exercise Physiologists
63,57,47-5013.00,"Service Unit Operators, Oil and Gas"
63,52,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
62,76,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
62,69,17-2131.00,Materials Engineers
62,68,49-9095.00,Manufactured Building and Mobile Home Installers
62,65,25-4011.00,Archivists
62,64,11-3051.06,Hydroelectric Production Managers
62,63,19-1031.00,Conservation Scientists
62,62,11-9081.00,Lodging Managers
62,62,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
62,59,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
62,59,33-2021.00,Fire Inspectors and Investigators
62,59,47-1011.03,Solar Energy Installation Managers
62,56,29-1021.00,"Dentists, General"
62,55,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
62,54,21-1093.00,Social and Human Service Assistants
62,49,29-1141.00,Registered Nurses
62,45,49-3091.00,Bicycle Repairers
61,75,11-3021.00,Computer and Information Systems Managers
61,69,17-1011.00,"Architects, Except Landscape and Naval"
61,66,15-1243.01,Data Warehousing Specialists
61,65,29-1211.00,Anesthesiologists
61,63,27-1022.00,Fashion Designers
61,63,11-9071.00,Gambling Managers
61,63,11-9121.00,Natural Sciences Managers
61,63,29-1122.00,Occupational Therapists
61,62,15-1251.00,Computer Programmers
61,61,19-2041.01,Climate Change Policy Analysts
61,61,11-9131.00,Postmasters and Mail Superintendents
61,61,11-9199.10,Wind Energy Development Managers
61,59,29-1141.03,Critical Care Nurses
61,59,29-1218.00,Obstetricians and Gynecologists
61,58,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
61,58,27-1011.00,Art Directors
61,55,19-4071.00,Forest and Conservation Technicians
61,55,47-3016.00,Helpers--Roofers
61,55,27-4021.00,Photographers
61,54,11-9171.00,Funeral Home Managers
61,54,27-1025.00,Interior Designers
61,52,29-1123.00,Physical Therapists
60,67,17-1022.01,Geodetic Surveyors
60,66,19-1023.00,Zoologists and Wildlife Biologists
60,65,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
60,62,41-9031.00,Sales Engineers
60,61,29-1129.01,Art Therapists
60,61,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
60,59,13-1041.06,Coroners
60,58,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
60,57,21-1092.00,Probation Officers and Correctional Treatment Specialists
60,55,19-3034.00,School Psychologists
60,54,21-1015.00,Rehabilitation Counselors
60,53,13-1041.00,Compliance Officers
59,72,19-1021.00,Biochemists and Biophysicists
59,71,19-2012.00,Physicists
59,65,11-9141.00,"Property, Real Estate, and Community Association Managers"
59,64,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
59,63,25-2032.00,"Career/Technical Education Teachers, Secondary School"
59,63,17-2112.03,Manufacturing Engineers
59,62,53-6051.01,Aviation Inspectors
59,61,19-2021.00,Atmospheric and Space Scientists
59,60,23-1022.00,"Arbitrators, Mediators, and Conciliators"
59,59,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
59,58,43-4111.00,"Interviewers, Except Eligibility and Loan"
59,58,29-1299.01,Naturopathic Physicians
59,57,17-2199.11,Solar Energy Systems Engineers
59,54,29-1292.00,Dental Hygienists
59,54,31-9092.00,Medical Assistants
59,54,11-9151.00,Social and Community Service Managers
59,52,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
59,49,29-9093.00,Surgical Assistants
58,70,19-3041.00,Sociologists
58,67,19-3094.00,Political Scientists
58,65,15-2021.00,Mathematicians
58,65,17-2199.08,Robotics Engineers
58,63,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
58,63,25-1122.00,"Communications Teachers, Postsecondary"
58,63,17-2161.00,Nuclear Engineers
58,63,17-3024.01,Robotics Technicians
58,62,27-4014.00,Sound Engineering Technicians
58,60,25-1123.00,"English Language and Literature Teachers, Postsecondary"
58,60,19-1029.03,Geneticists
58,58,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
58,57,13-2011.00,Accountants and Auditors
58,57,19-4013.00,Food Science Technicians
58,49,47-4011.01,Energy Auditors
58,48,19-1042.00,"Medical Scientists, Except Epidemiologists"
57,72,17-2199.09,Nanosystems Engineers
57,63,15-1221.00,Computer and Information Research Scientists
57,63,19-1012.00,Food Scientists and Technologists
57,62,11-3071.00,"Transportation, Storage, and Distribution Managers"
57,61,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
57,61,15-1254.00,Web Developers
57,60,25-1053.00,"Environmental Science Teachers, Postsecondary"
57,59,27-2032.00,Choreographers
57,59,25-1071.00,"Health Specialties Teachers, Postsecondary"
57,59,25-1112.00,"Law Teachers, Postsecondary"
57,58,21-2021.00,"Directors, Religious Activities and Education"
57,58,19-1022.00,Microbiologists
57,56,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
57,54,15-1211.00,Computer Systems Analysts
57,54,49-9094.00,Locksmiths and Safe Repairers
57,52,17-3022.00,Civil Engineering Technologists and Technicians
57,51,39-4021.00,Funeral Attendants
57,49,13-1032.00,"Insurance Appraisers, Auto Damage"
57,48,51-8021.00,Stationary Engineers and Boiler Operators
57,46,51-1011.00,First-Line Supervisors of Production and Operating Workers
56,63,27-2021.00,Athletes and Sports Competitors
56,63,17-2121.00,Marine Engineers and Naval Architects
56,60,17-3026.01,Nanotechnology Engineering Technologists and Technicians
56,59,19-2031.00,Chemists
56,59,17-1022.00,Surveyors
56,57,11-3012.00,Administrative Services Managers
56,57,29-1011.00,Chiropractors
56,56,51-8013.04,Hydroelectric Plant Technicians
56,56,29-1129.02,Music Therapists
56,54,33-2011.00,Firefighters
56,53,19-3093.00,Historians
56,52,45-4022.00,Logging Equipment Operators
56,50,39-6011.00,Baggage Porters and Bellhops
56,49,41-3011.00,Advertising Sales Agents
56,46,29-2011.00,Medical and Clinical Laboratory Technologists
56,46,41-4011.07,Solar Sales Representatives and Assessors
56,44,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
55,62,19-3091.00,Anthropologists and Archeologists
55,62,11-2021.00,Marketing Managers
55,61,19-2099.01,Remote Sensing Scientists and Technologists
55,59,13-1041.04,Government Property Inspectors and Investigators
55,58,17-2141.00,Mechanical Engineers
55,57,19-1029.02,Molecular and Cellular Biologists
55,56,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
55,55,25-1081.00,"Education Teachers, Postsecondary"
55,55,15-1299.02,Geographic Information Systems Technologists and Technicians
55,55,33-3052.00,Transit and Railroad Police
55,54,33-3051.00,Police and Sheriff's Patrol Officers
55,51,47-5081.00,Helpers--Extraction Workers
55,47,49-2091.00,Avionics Technicians
55,46,41-9021.00,Real Estate Brokers
55,45,39-5094.00,Skincare Specialists
55,43,31-9091.00,Dental Assistants
54,69,11-1021.00,General and Operations Managers
54,65,11-3051.03,Biofuels Production Managers
54,64,19-3011.00,Economists
54,58,13-2061.00,Financial Examiners
54,54,29-2091.00,Orthotists and Prosthetists
54,52,29-1071.01,Anesthesiologist Assistants
54,52,19-1032.00,Foresters
54,51,27-4011.00,Audio and Video Technicians
54,47,21-1094.00,Community Health Workers
54,45,13-1041.01,Environmental Compliance Inspectors
54,43,13-2071.00,Credit Counselors
53,70,19-3011.01,Environmental Economists
53,65,15-1231.00,Computer Network Support Specialists
53,59,25-4012.00,Curators
53,58,17-2199.06,Microsystems Engineers
53,56,25-1052.00,"Chemistry Teachers, Postsecondary"
53,55,21-1013.00,Marriage and Family Therapists
53,55,47-2022.00,Stonemasons
53,54,25-1064.00,"Geography Teachers, Postsecondary"
53,54,25-1022.00,"Mathematical Science Teachers, Postsecondary"
53,53,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
53,52,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
53,50,25-2023.00,"Career/Technical Education Teachers, Middle School"
53,50,11-3051.00,Industrial Production Managers
53,50,29-2035.00,Magnetic Resonance Imaging Technologists
53,50,21-1014.00,Mental Health Counselors
53,49,19-4051.02,Nuclear Monitoring Technicians
53,47,25-3021.00,Self-Enrichment Teachers
53,45,33-9099.02,Retail Loss Prevention Specialists
53,44,29-1221.00,"Pediatricians, General"
53,42,29-1127.00,Speech-Language Pathologists
53,40,31-2012.00,Occupational Therapy Aides
53,38,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
53,34,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
52,64,13-1081.02,Logistics Analysts
52,58,25-1125.00,"History Teachers, Postsecondary"
52,57,17-2112.00,Industrial Engineers
52,56,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
52,55,33-3021.00,Detectives and Criminal Investigators
52,55,17-2071.00,Electrical Engineers
52,54,19-4012.00,Agricultural Technicians
52,54,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
