Importance,Level,Code,Occupation
93,83,47-4021.00,Elevator Installers and Repairers
92,78,49-9097.00,Signal and Track Switch Repairers
91,70,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
89,84,17-3029.04,Electronics Engineering Technologists
89,82,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
85,86,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
85,82,49-2021.01,Radio Mechanics
84,86,17-3024.01,Robotics Technicians
84,75,49-9081.00,Wind Turbine Service Technicians
84,67,49-2098.00,Security and Fire Alarm Systems Installers
83,83,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
83,78,49-9062.00,Medical Equipment Repairers
83,77,49-2091.00,Avionics Technicians
83,75,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
81,75,17-3023.01,Electronics Engineering Technicians
81,70,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
80,65,27-2012.05,Technical Directors/Managers
78,66,49-9061.00,Camera and Photographic Equipment Repairers
76,71,49-9021.01,Heating and Air Conditioning Mechanics and Installers
75,76,17-3024.00,Electro-Mechanical Technicians
74,73,17-3029.03,Electromechanical Engineering Technologists
74,70,27-4012.00,Broadcast Technicians
72,67,49-9021.02,Refrigeration Mechanics and Installers
71,70,49-3011.00,Aircraft Mechanics and Service Technicians
71,58,53-7071.00,Gas Compressor and Gas Pumping Station Operators
70,65,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
69,53,27-4011.00,Audio and Video Equipment Technicians
68,59,15-1142.00,Network and Computer Systems Administrators
67,74,49-3023.01,Automotive Master Mechanics
67,60,27-4014.00,Sound Engineering Technicians
67,57,15-1151.00,Computer User Support Specialists
66,71,17-3029.12,Nanotechnology Engineering Technicians
66,70,17-3027.01,Automotive Engineering Technicians
66,62,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
65,70,17-2199.08,Robotics Engineers
65,55,19-2031.00,Chemists
64,63,17-3023.03,Electrical Engineering Technicians
64,56,51-8021.00,Stationary Engineers and Boiler Operators
63,61,47-5061.00,"Roof Bolters, Mining"
63,52,11-9013.02,Farm and Ranch Managers
63,43,43-9031.00,Desktop Publishers
62,71,17-2072.00,"Electronics Engineers, Except Computer"
62,61,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
62,55,53-5021.01,Ship and Boat Captains
62,51,29-2011.00,Medical and Clinical Laboratory Technologists
62,50,51-8031.00,Water and Wastewater Treatment Plant and System Operators
61,54,19-4041.02,Geological Sample Test Technicians
61,54,29-2099.01,Neurodiagnostic Technologists
61,53,49-9051.00,Electrical Power-Line Installers and Repairers
60,73,17-2061.00,Computer Hardware Engineers
60,61,49-3051.00,Motorboat Mechanics and Service Technicians
60,59,47-5081.00,Helpers--Extraction Workers
60,54,51-8099.04,Hydroelectric Plant Technicians
60,50,47-2231.00,Solar Photovoltaic Installers
60,48,39-3021.00,Motion Picture Projectionists
59,57,49-3023.02,Automotive Specialty Technicians
59,57,47-3016.00,Helpers--Roofers
59,56,33-3041.00,Parking Enforcement Workers
59,53,49-9043.00,"Maintenance Workers, Machinery"
59,51,29-1124.00,Radiation Therapists
58,64,29-2092.00,Hearing Aid Specialists
58,54,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
58,54,47-5042.00,Mine Cutting and Channeling Machine Operators
58,53,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
58,51,47-5041.00,Continuous Mining Machine Operators
58,38,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
57,59,17-2199.09,Nanosystems Engineers
57,59,53-5031.00,Ship Engineers
57,58,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
57,57,47-2111.00,Electricians
57,57,49-3041.00,Farm Equipment Mechanics and Service Technicians
57,55,47-3013.00,Helpers--Electricians
57,53,49-3052.00,Motorcycle Mechanics
57,49,49-9052.00,Telecommunications Line Installers and Repairers
56,58,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
56,54,11-9199.09,Wind Energy Operations Managers
56,52,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
56,51,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
56,49,17-3021.00,Aerospace Engineering and Operations Technicians
56,48,51-9151.00,Photographic Process Workers and Processing Machine Operators
55,61,17-2199.06,Microsystems Engineers
55,61,49-3092.00,Recreational Vehicle Service Technicians
55,55,49-9031.00,Home Appliance Repairers
55,54,17-3029.08,Photonics Technicians
55,45,17-1022.00,Surveyors
54,57,17-3029.11,Nanotechnology Engineering Technologists
54,52,17-3029.07,Mechanical Engineering Technologists
54,52,29-2012.00,Medical and Clinical Laboratory Technicians
54,49,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
53,59,17-2071.00,Electrical Engineers
53,51,19-4031.00,Chemical Technicians
53,42,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
53,40,47-3012.00,Helpers--Carpenters
52,50,11-3051.06,Hydroelectric Production Managers
52,47,49-9071.00,"Maintenance and Repair Workers, General"
52,43,49-9011.00,Mechanical Door Repairers
52,42,19-4011.02,Food Science Technicians
52,33,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
51,50,17-3029.09,Manufacturing Production Technicians
51,40,51-8099.01,Biofuels Processing Technicians
51,40,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51,38,53-7081.00,Refuse and Recyclable Material Collectors
50,57,49-9064.00,Watch Repairers
50,53,17-3029.06,Manufacturing Engineering Technologists
50,50,49-9041.00,Industrial Machinery Mechanics
50,49,19-4099.02,Precision Agriculture Technicians
50,48,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
50,42,49-9099.01,Geothermal Technicians
50,39,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
49,52,49-9094.00,Locksmiths and Safe Repairers
49,47,47-1011.03,Solar Energy Installation Managers
49,47,51-4111.00,Tool and Die Makers
49,46,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
49,46,19-4051.02,Nuclear Monitoring Technicians
49,46,51-4052.00,"Pourers and Casters, Metal"
49,45,25-1194.00,"Vocational Education Teachers, Postsecondary"
49,43,17-1022.01,Geodetic Surveyors
48,47,51-2022.00,Electrical and Electronic Equipment Assemblers
48,46,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
48,44,17-3029.01,Non-Destructive Testing Specialists
48,42,51-8013.00,Power Plant Operators
48,41,29-1181.00,Audiologists
48,37,29-1151.00,Nurse Anesthetists
48,36,29-2033.00,Nuclear Medicine Technologists
47,57,17-2199.07,Photonics Engineers
47,49,17-3029.02,Electrical Engineering Technologists
47,47,51-8099.03,Biomass Plant Technicians
47,36,31-9099.02,Endoscopy Technicians
47,36,53-6041.00,Traffic Technicians
46,51,17-3026.00,Industrial Engineering Technicians
46,51,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
46,47,53-6031.00,Automotive and Watercraft Service Attendants
46,44,47-4099.02,Solar Thermal Installers and Technicians
46,43,45-4011.00,Forest and Conservation Workers
46,43,51-4192.00,"Layout Workers, Metal and Plastic"
46,41,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
46,41,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
46,40,51-5112.00,Printing Press Operators
46,39,33-2011.01,Municipal Firefighters
46,38,51-3093.00,Food Cooking Machine Operators and Tenders
46,38,33-9093.00,Transportation Security Screeners
45,50,15-1152.00,Computer Network Support Specialists
45,49,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
45,49,47-5012.00,"Rotary Drill Operators, Oil and Gas"
45,44,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
45,43,51-9141.00,Semiconductor Processors
45,41,29-2041.00,Emergency Medical Technicians and Paramedics
45,41,51-2093.00,Timing Device Assemblers and Adjusters
45,40,41-2022.00,Parts Salespersons
45,38,11-3051.02,Geothermal Production Managers
45,38,51-4051.00,Metal-Refining Furnace Operators and Tenders
45,38,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
45,36,51-9122.00,"Painters, Transportation Equipment"
45,34,43-9071.00,"Office Machine Operators, Except Computer"
44,48,51-2031.00,Engine and Other Machine Assemblers
44,48,15-1143.01,Telecommunications Engineering Specialists
44,47,29-1126.00,Respiratory Therapists
44,43,27-1011.00,Art Directors
44,43,47-5021.00,"Earth Drillers, Except Oil and Gas"
44,42,19-4011.01,Agricultural Technicians
44,42,51-8012.00,Power Distributors and Dispatchers
44,42,29-2055.00,Surgical Technologists
44,41,33-2011.02,Forest Firefighters
