Importance,Level,Code,Occupation
94,91,49-9044.00,Millwrights
94,86,47-4021.00,Elevator Installers and Repairers
92,84,53-5031.00,Ship Engineers
91,78,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
91,69,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
90,74,49-9021.01,Heating and Air Conditioning Mechanics and Installers
89,77,47-5081.00,Helpers--Extraction Workers
89,76,49-9043.00,"Maintenance Workers, Machinery"
87,84,51-8099.04,Hydroelectric Plant Technicians
87,71,53-7071.00,Gas Compressor and Gas Pumping Station Operators
86,78,49-9041.00,Industrial Machinery Mechanics
86,69,47-5021.00,"Earth Drillers, Except Oil and Gas"
85,82,49-9081.00,Wind Turbine Service Technicians
85,81,49-3011.00,Aircraft Mechanics and Service Technicians
85,76,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
84,70,45-4022.00,Logging Equipment Operators
83,78,47-2011.00,Boilermakers
83,73,49-9064.00,Watch Repairers
83,68,49-9097.00,Signal and Track Switch Repairers
82,75,47-2072.00,Pile-Driver Operators
82,73,49-3023.01,Automotive Master Mechanics
82,72,49-3052.00,Motorcycle Mechanics
82,68,51-8021.00,Stationary Engineers and Boiler Operators
81,77,53-7041.00,Hoist and Winch Operators
81,76,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
81,74,47-5061.00,"Roof Bolters, Mining"
81,62,53-5011.00,Sailors and Marine Oilers
80,75,47-5011.00,"Derrick Operators, Oil and Gas"
80,69,49-9095.00,Manufactured Building and Mobile Home Installers
79,75,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
78,69,47-5012.00,"Rotary Drill Operators, Oil and Gas"
78,62,49-9021.02,Refrigeration Mechanics and Installers
78,59,51-5112.00,Printing Press Operators
77,70,49-3041.00,Farm Equipment Mechanics and Service Technicians
77,67,51-2093.00,Timing Device Assemblers and Adjusters
77,66,49-3091.00,Bicycle Repairers
76,73,53-5021.01,Ship and Boat Captains
75,68,49-3051.00,Motorboat Mechanics and Service Technicians
75,57,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
74,75,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
74,69,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
74,65,45-1011.05,First-Line Supervisors of Logging Workers
73,64,47-5041.00,Continuous Mining Machine Operators
73,64,53-7073.00,Wellhead Pumpers
73,62,53-7021.00,Crane and Tower Operators
73,58,49-3092.00,Recreational Vehicle Service Technicians
