Context,Code,Occupation
100,29-1292.00,Dental Hygienists
100,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
100,45-4022.00,Logging Equipment Operators
100,49-3052.00,Motorcycle Mechanics
100,53-7081.00,Refuse and Recyclable Material Collectors
100,47-5043.00,"Roof Bolters, Mining"
100,49-9064.00,Watch and Clock Repairers
99,49-3021.00,Automotive Body and Related Repairers
99,49-3091.00,Bicycle Repairers
99,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
99,47-2151.00,Pipelayers
98,39-5011.00,Barbers
98,47-2051.00,Cement Masons and Concrete Finishers
98,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
98,47-2161.00,Plasterers and Stucco Masons
98,29-1024.00,Prosthodontists
98,53-4041.00,Subway and Streetcar Operators
98,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
97,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
97,47-5041.00,Continuous Mining Machine Operators
97,39-3092.00,Costume Attendants
97,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
97,47-2043.00,Floor Sanders and Finishers
97,53-7041.00,Hoist and Winch Operators
97,49-3043.00,Rail Car Repairers
97,51-9197.00,Tire Builders
97,51-6093.00,Upholsterers
96,51-9081.00,Dental Laboratory Technicians
96,45-4021.00,Fallers
96,51-7021.00,Furniture Finishers
96,47-2132.00,"Insulation Workers, Mechanical"
96,51-4041.00,Machinists
96,47-5071.00,"Roustabouts, Oil and Gas"
96,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
96,49-9081.00,Wind Turbine Service Technicians
95,49-3023.00,Automotive Service Technicians and Mechanics
95,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
95,51-3021.00,Butchers and Meat Cutters
95,51-2021.00,"Coil Winders, Tapers, and Finishers"
95,29-2032.00,Diagnostic Medical Sonographers
95,29-2011.00,Medical and Clinical Laboratory Technologists
95,47-2141.00,"Painters, Construction and Maintenance"
95,51-6042.00,Shoe Machine Operators and Tenders
95,47-2053.00,Terrazzo Workers and Finishers
95,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
95,49-3093.00,Tire Repairers and Changers
95,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
94,49-9061.00,Camera and Photographic Equipment Repairers
94,51-9161.00,Computer Numerically Controlled Tool Operators
94,35-2013.00,"Cooks, Private Household"
94,47-2081.00,Drywall and Ceiling Tile Installers
94,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
94,51-6051.00,"Sewers, Hand"
94,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
94,47-2022.00,Stonemasons
93,53-6031.00,Automotive and Watercraft Service Attendants
93,47-2041.00,Carpet Installers
93,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
93,53-7051.00,Industrial Truck and Tractor Operators
93,29-1241.00,"Ophthalmologists, Except Pediatric"
93,51-5112.00,Printing Press Operators
93,47-2221.00,Structural Iron and Steel Workers
93,47-2082.00,Tapers
92,47-2011.00,Boilermakers
92,51-9031.00,"Cutters and Trimmers, Hand"
92,29-1021.00,"Dentists, General"
92,53-7031.00,Dredge Operators
92,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
92,47-5023.00,"Earth Drillers, Except Oil and Gas"
92,51-2031.00,Engine and Other Machine Assemblers
92,49-3041.00,Farm Equipment Mechanics and Service Technicians
92,47-3013.00,Helpers--Electricians
92,47-3016.00,Helpers--Roofers
92,49-9044.00,Millwrights
92,49-9063.00,Musical Instrument Repairers and Tuners
92,29-1023.00,Orthodontists
92,33-3041.00,Parking Enforcement Workers
92,51-6031.00,Sewing Machine Operators
92,47-2211.00,Sheet Metal Workers
92,51-3023.00,Slaughterers and Meat Packers
92,29-2055.00,Surgical Technologists
92,51-2092.00,Team Assemblers
91,51-9191.00,Adhesive Bonding Machine Operators and Tenders
91,47-5011.00,"Derrick Operators, Oil and Gas"
91,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
91,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
91,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
91,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
91,51-9071.06,Gem and Diamond Workers
91,47-3012.00,Helpers--Carpenters
91,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
91,51-9198.00,Helpers--Production Workers
91,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
91,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
91,47-2073.00,Operating Engineers and Other Construction Equipment Operators
91,31-1132.00,Orderlies
91,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
91,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
91,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
91,51-6041.00,Shoe and Leather Workers and Repairers
91,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
90,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
90,53-3031.00,Driver/Sales Workers
90,51-3093.00,Food Cooking Machine Operators and Tenders
90,51-4071.00,Foundry Mold and Coremakers
90,49-9031.00,Home Appliance Repairers
90,53-4011.00,Locomotive Engineers
90,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
90,51-9083.00,Ophthalmic Laboratory Technicians
90,47-2171.00,Reinforcing Iron and Rebar Workers
90,49-9052.00,Telecommunications Line Installers and Repairers
89,35-3023.01,Baristas
89,35-1011.00,Chefs and Head Cooks
89,39-3011.00,Gambling Dealers
89,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
89,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
89,43-5041.00,"Meter Readers, Utilities"
89,51-9111.00,Packaging and Filling Machine Operators and Tenders
89,47-2142.00,Paperhangers
89,47-2072.00,Pile Driver Operators
89,51-4052.00,"Pourers and Casters, Metal"
89,39-5093.00,Shampooers
88,27-4031.00,"Camera Operators, Television, Video, and Film"
88,27-1012.00,Craft Artists
88,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
88,47-2111.00,Electricians
88,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
88,31-9099.02,Endoscopy Technicians
88,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
88,27-1023.00,Floral Designers
88,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
88,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
88,51-9071.00,Jewelers and Precious Stone and Metal Workers
88,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
88,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
88,29-2091.00,Orthotists and Prosthetists
88,51-4062.00,"Patternmakers, Metal and Plastic"
88,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
88,29-2034.00,Radiologic Technologists and Technicians
88,49-9096.00,Riggers
88,47-5012.00,"Rotary Drill Operators, Oil and Gas"
88,27-4014.00,Sound Engineering Technicians
88,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
87,53-3052.00,"Bus Drivers, Transit and Intercity"
87,51-2022.00,Electrical and Electronic Equipment Assemblers
87,45-2041.00,"Graders and Sorters, Agricultural Products"
87,51-9022.00,"Grinding and Polishing Workers, Hand"
87,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
87,47-4051.00,Highway Maintenance Workers
87,49-9094.00,Locksmiths and Safe Repairers
87,39-5091.00,"Makeup Artists, Theatrical and Performance"
87,51-9082.00,Medical Appliance Technicians
87,51-4051.00,Metal-Refining Furnace Operators and Tenders
87,49-3051.00,Motorboat Mechanics and Service Technicians
87,51-9195.05,"Potters, Manufacturing"
87,43-5031.00,Public Safety Telecommunicators
87,29-9093.00,Surgical Assistants
86,27-4011.00,Audio and Video Technicians
86,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
86,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
86,47-4021.00,Elevator and Escalator Installers and Repairers
