Context,Code,Occupation
100,29-1141.01,Acute Care Nurses
100,41-3011.00,Advertising Sales Agents
100,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
100,29-1229.01,Allergists and Immunologists
100,49-3091.00,Bicycle Repairers
100,43-4011.00,Brokerage Clerks
100,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
100,11-1011.00,Chief Executives
100,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
100,11-3111.00,Compensation and Benefits Managers
100,41-2021.00,Counter and Rental Clerks
100,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
100,43-4051.00,Customer Service Representatives
100,13-1041.08,Customs Brokers
100,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
100,43-6011.00,Executive Secretaries and Executive Administrative Assistants
100,25-9021.00,Farm and Home Management Educators
100,43-4071.00,File Clerks
100,11-3031.00,Financial Managers
100,43-5011.01,Freight Forwarders
100,29-9092.00,Genetic Counselors
100,11-3051.02,Geothermal Production Managers
100,21-1022.00,Healthcare Social Workers
100,29-1229.02,Hospitalists
100,11-3121.00,Human Resources Managers
100,13-1071.00,Human Resources Specialists
100,11-3051.06,Hydroelectric Production Managers
100,13-1032.00,"Insurance Appraisers, Auto Damage"
100,41-3021.00,Insurance Sales Agents
100,43-4131.00,Loan Interviewers and Clerks
100,13-2072.00,Loan Officers
100,13-1081.00,Logisticians
100,27-2012.03,Media Programming Directors
100,31-9093.00,Medical Equipment Preparers
100,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
100,29-1171.00,Nurse Practitioners
100,29-1218.00,Obstetricians and Gynecologists
100,43-4151.00,Order Clerks
100,41-2022.00,Parts Salespersons
100,29-2099.08,Patient Representatives
100,29-1051.00,Pharmacists
100,29-2052.00,Pharmacy Technicians
100,29-1229.05,Preventive Medicine Physicians
100,27-3031.00,Public Relations Specialists
100,43-5031.00,Public Safety Telecommunicators
100,11-3051.01,Quality Control Systems Managers
100,41-9021.00,Real Estate Brokers
100,41-9031.00,Sales Engineers
100,11-2022.00,Sales Managers
100,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
100,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
100,49-2098.00,Security and Fire Alarm Systems Installers
100,11-9151.00,Social and Community Service Managers
100,41-4011.07,Solar Sales Representatives and Assessors
100,11-3071.04,Supply Chain Managers
100,41-9041.00,Telemarketers
100,43-2021.00,Telephone Operators
100,41-3041.00,Travel Agents
100,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
100,11-9199.09,Wind Energy Operations Managers
100,43-9022.00,Word Processors and Typists
99,53-1041.00,Aircraft Cargo Handling Supervisors
99,39-6012.00,Concierges
99,43-5021.00,Couriers and Messengers
99,29-1141.03,Critical Care Nurses
99,33-3021.00,Detectives and Criminal Investigators
99,39-4011.00,Embalmers
99,13-1041.01,Environmental Compliance Inspectors
99,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
99,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
99,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
99,13-1131.00,Fundraisers
99,51-8092.00,Gas Plant Operators
99,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
99,23-1011.00,Lawyers
99,43-6012.00,Legal Secretaries and Administrative Assistants
99,49-9094.00,Locksmiths and Safe Repairers
99,29-2011.00,Medical and Clinical Laboratory Technologists
99,11-9111.00,Medical and Health Services Managers
99,13-1121.00,"Meeting, Convention, and Event Planners"
99,51-8011.00,Nuclear Power Reactor Operators
99,29-1022.00,Oral and Maxillofacial Surgeons
99,43-3061.00,Procurement Clerks
99,11-9141.00,"Property, Real Estate, and Community Association Managers"
99,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
99,11-3061.00,Purchasing Managers
99,29-1224.00,Radiologists
99,41-9022.00,Real Estate Sales Agents
99,43-4171.00,Receptionists and Information Clerks
99,29-1141.00,Registered Nurses
99,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
99,29-1229.06,Sports Medicine Physicians
99,17-1022.00,Surveyors
99,15-1241.01,Telecommunications Engineering Specialists
99,29-1229.03,Urologists
99,29-1131.00,Veterinarians
99,53-7073.00,Wellhead Pumpers
98,53-2022.00,Airfield Operations Specialists
98,17-1011.00,"Architects, Except Landscape and Naval"
98,11-9041.00,Architectural and Engineering Managers
98,29-1181.00,Audiologists
98,17-2141.02,Automotive Engineers
98,53-6051.01,Aviation Inspectors
98,17-2051.00,Civil Engineers
98,15-1231.00,Computer Network Support Specialists
98,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
98,11-9021.00,Construction Managers
98,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
98,33-1011.00,First-Line Supervisors of Correctional Officers
98,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
98,33-3031.00,Fish and Game Wardens
98,11-1021.00,General and Operations Managers
98,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
98,11-3031.03,Investment Fund Managers
98,13-1075.00,Labor Relations Specialists
98,11-9081.00,Lodging Managers
98,11-2021.00,Marketing Managers
98,43-6013.00,Medical Secretaries and Administrative Assistants
98,49-9063.00,Musical Instrument Repairers and Tuners
98,43-4141.00,New Accounts Clerks
98,29-2091.00,Orthotists and Prosthetists
98,43-3051.00,Payroll and Timekeeping Clerks
98,31-9095.00,Pharmacy Aides
98,33-9021.00,Private Detectives and Investigators
98,29-1223.00,Psychiatrists
98,11-9199.01,Regulatory Affairs Managers
98,29-1126.00,Respiratory Therapists
98,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
98,11-9179.02,Spa Managers
98,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
98,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
97,29-1141.02,Advanced Practice Psychiatric Nurses
97,11-3051.03,Biofuels Production Managers
97,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
97,35-1011.00,Chefs and Head Cooks
97,19-3033.00,Clinical and Counseling Psychologists
97,29-1141.04,Clinical Nurse Specialists
97,15-1211.00,Computer Systems Analysts
97,21-2021.00,"Directors, Religious Activities and Education"
97,11-9032.00,"Education Administrators, Kindergarten through Secondary"
97,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
97,19-2041.00,"Environmental Scientists and Specialists, Including Health"
97,13-1041.03,Equal Opportunity Representatives and Officers
97,33-1012.00,First-Line Supervisors of Police and Detectives
97,27-1023.00,Floral Designers
97,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
97,49-9031.00,Home Appliance Repairers
97,33-3021.06,Intelligence Analysts
97,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
97,53-5022.00,Motorboat Operators
97,43-9061.00,"Office Clerks, General"
97,29-1241.00,"Ophthalmologists, Except Pediatric"
97,29-2081.00,"Opticians, Dispensing"
97,27-4021.00,Photographers
97,29-1081.00,Podiatrists
97,43-5061.00,"Production, Planning, and Expediting Clerks"
97,43-3071.00,Tellers
97,53-6051.00,Transportation Inspectors
97,11-3071.00,"Transportation, Storage, and Distribution Managers"
97,11-3031.01,Treasurers and Controllers
97,27-3043.00,Writers and Authors
96,13-2011.00,Accountants and Auditors
96,53-6031.00,Automotive and Watercraft Service Attendants
