Context,Code,Occupation
100,27-2011.00,Actors
100,29-1215.00,Family Medicine Physicians
99,11-3051.01,Quality Control Systems Managers
98,43-4111.00,"Interviewers, Except Eligibility and Loan"
98,29-1221.00,"Pediatricians, General"
98,29-1141.00,Registered Nurses
98,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
98,31-9099.01,Speech-Language Pathology Assistants
97,11-9041.00,Architectural and Engineering Managers
97,29-1021.00,"Dentists, General"
97,49-9051.00,Electrical Power-Line Installers and Repairers
97,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
97,19-4071.00,Forest and Conservation Technicians
97,33-2022.00,Forest Fire Inspectors and Prevention Specialists
97,51-8011.00,Nuclear Power Reactor Operators
97,17-2171.00,Petroleum Engineers
97,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
97,47-5012.00,"Rotary Drill Operators, Oil and Gas"
96,53-1041.00,Aircraft Cargo Handling Supervisors
96,39-3092.00,Costume Attendants
96,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
96,25-9031.00,Instructional Coordinators
96,19-4051.00,Nuclear Technicians
96,29-1151.00,Nurse Anesthetists
96,31-2011.00,Occupational Therapy Assistants
96,29-2057.00,Ophthalmic Medical Technicians
96,29-1229.04,Physical Medicine and Rehabilitation Physicians
96,11-9179.02,Spa Managers
96,25-2058.00,"Special Education Teachers, Secondary School"
96,29-2055.00,Surgical Technologists
96,29-1131.00,Veterinarians
95,53-2021.00,Air Traffic Controllers
95,29-9091.00,Athletic Trainers
95,11-1011.03,Chief Sustainability Officers
95,21-2021.00,"Directors, Religious Activities and Education"
95,33-1012.00,First-Line Supervisors of Police and Detectives
95,11-9051.00,Food Service Managers
95,11-1021.00,General and Operations Managers
95,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
95,11-9081.00,Lodging Managers
95,19-1042.00,"Medical Scientists, Except Epidemiologists"
95,13-1121.00,"Meeting, Convention, and Event Planners"
95,29-1241.00,"Ophthalmologists, Except Pediatric"
95,29-1223.00,Psychiatrists
95,25-2057.00,"Special Education Teachers, Middle School"
94,29-1141.01,Acute Care Nurses
94,53-2022.00,Airfield Operations Specialists
94,27-1011.00,Art Directors
94,11-3051.03,Biofuels Production Managers
94,11-1011.00,Chief Executives
94,21-1021.00,"Child, Family, and School Social Workers"
94,11-9199.02,Compliance Managers
94,11-3021.00,Computer and Information Systems Managers
94,29-1141.03,Critical Care Nurses
94,41-1011.00,First-Line Supervisors of Retail Sales Workers
94,53-7041.00,Hoist and Winch Operators
94,29-1229.02,Hospitalists
94,15-1299.09,Information Technology Project Managers
94,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
94,53-4011.00,Locomotive Engineers
94,27-2012.05,Media Technical Directors/Managers
94,29-1171.00,Nurse Practitioners
94,29-1022.00,Oral and Maxillofacial Surgeons
94,29-2099.08,Patient Representatives
94,33-3021.02,Police Identification and Records Officers
94,27-2012.00,Producers and Directors
94,29-1024.00,Prosthodontists
94,29-2053.00,Psychiatric Technicians
94,33-9099.02,Retail Loss Prevention Specialists
93,33-9011.00,Animal Control Workers
93,19-1029.01,Bioinformatics Scientists
93,27-1021.00,Commercial and Industrial Designers
93,33-3012.00,Correctional Officers and Jailers
93,29-2051.00,Dietetic Technicians
93,13-2061.00,Financial Examiners
93,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
93,21-1022.00,Healthcare Social Workers
93,13-1071.00,Human Resources Specialists
93,27-3091.00,Interpreters and Translators
93,29-1023.00,Orthodontists
93,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
93,11-9151.00,Social and Community Service Managers
93,29-9093.00,Surgical Assistants
93,15-1255.01,Video Game Designers
92,51-8099.01,Biofuels Processing Technicians
92,11-3051.04,Biomass Power Plant Managers
92,21-2011.00,Clergy
92,29-1141.04,Clinical Nurse Specialists
92,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
92,19-2041.02,Environmental Restoration Planners
92,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
92,33-1011.00,First-Line Supervisors of Correctional Officers
92,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
92,39-1022.00,First-Line Supervisors of Personal Service Workers
92,11-3051.02,Geothermal Production Managers
92,29-2061.00,Licensed Practical and Licensed Vocational Nurses
92,11-2021.00,Marketing Managers
92,27-2012.03,Media Programming Directors
92,27-2042.00,Musicians and Singers
92,11-9121.00,Natural Sciences Managers
92,31-1131.00,Nursing Assistants
92,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
92,31-9095.00,Pharmacy Aides
92,29-1071.00,Physician Assistants
92,33-3051.00,Police and Sheriff's Patrol Officers
92,11-9131.00,Postmasters and Mail Superintendents
92,29-1125.00,Recreational Therapists
92,27-1027.00,Set and Exhibit Designers
92,25-2051.00,"Special Education Teachers, Preschool"
92,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
92,29-1229.03,Urologists
91,29-1229.01,Allergists and Immunologists
91,29-1211.00,Anesthesiologists
91,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
91,29-2031.00,Cardiovascular Technologists and Technicians
91,15-1299.08,Computer Systems Engineers/Architects
91,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
91,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
91,11-9161.00,Emergency Management Directors
91,33-2011.00,Firefighters
91,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
91,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
91,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
91,39-4021.00,Funeral Attendants
91,11-9071.00,Gambling Managers
91,15-1211.01,Health Informatics Specialists
91,47-4051.00,Highway Maintenance Workers
91,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
91,29-1299.02,Orthoptists
91,31-2021.00,Physical Therapist Assistants
91,47-5071.00,"Roustabouts, Oil and Gas"
91,41-4011.07,Solar Sales Representatives and Assessors
91,29-1127.00,Speech-Language Pathologists
91,13-1151.00,Training and Development Specialists
90,17-1011.00,"Architects, Except Landscape and Naval"
90,27-4011.00,Audio and Video Technicians
90,17-2141.02,Automotive Engineers
90,27-4031.00,"Camera Operators, Television, Video, and Film"
90,35-1011.00,Chefs and Head Cooks
90,15-1231.00,Computer Network Support Specialists
90,47-5041.00,Continuous Mining Machine Operators
90,33-3051.04,Customs and Border Protection Officers
90,31-9091.00,Dental Assistants
90,27-3041.00,Editors
90,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
90,31-9099.02,Endoscopy Technicians
90,43-6011.00,Executive Secretaries and Executive Administrative Assistants
90,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
90,17-2112.00,Industrial Engineers
90,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
90,13-1081.00,Logisticians
90,17-2199.05,Mechatronics Engineers
90,29-9099.01,Midwives
90,19-4051.02,Nuclear Monitoring Technicians
90,29-1161.00,Nurse Midwives
90,31-9097.00,Phlebotomists
90,17-2199.07,Photonics Engineers
90,31-2022.00,Physical Therapist Aides
90,47-2072.00,Pile Driver Operators
90,43-3061.00,Procurement Clerks
90,43-5061.00,"Production, Planning, and Expediting Clerks"
90,29-1224.00,Radiologists
90,19-1031.02,Range Managers
90,47-5043.00,"Roof Bolters, Mining"
90,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
90,47-5013.00,"Service Unit Operators, Oil and Gas"
90,21-1093.00,Social and Human Service Assistants
90,11-3071.04,Supply Chain Managers
90,53-7121.00,"Tank Car, Truck, and Ship Loaders"
90,27-3042.00,Technical Writers
90,33-9093.00,Transportation Security Screeners
89,11-3012.00,Administrative Services Managers
89,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
89,29-1071.01,Anesthesiologist Assistants
89,39-2021.00,Animal Caretakers
89,17-2031.00,Bioengineers and Biomedical Engineers
89,19-4031.00,Chemical Technicians
89,27-2032.00,Choreographers
89,15-1211.00,Computer Systems Analysts
89,11-9021.00,Construction Managers
89,15-1242.00,Database Administrators
89,47-5011.00,"Derrick Operators, Oil and Gas"
89,11-9032.00,"Education Administrators, Kindergarten through Secondary"
89,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
89,17-3012.00,Electrical and Electronics Drafters
89,17-2072.00,"Electronics Engineers, Except Computer"
