industry_label,labor_subsidy,employment,naics_2d
Retail Trade,234.1,15672,44
"Arts, Entertainment, and Recreation",30.2,2472,71
Accommodation and Food Services,26.1,14394,72
Educational Services,22.2,3828,61
Other Services (except Public Administration),14.5,5941,81
Information,12.7,2894,51
Transportation and Warehousing,11.4,5518,48
Health Care and Social Assistance,9.4,7642,62
Finance and Insurance,9.200000000000001,6486,52
Real Estate Rental and Leasing,6.2,2358,53
Administrative and Support and Waste Management and Remediation Services,5.2,9395,56
Utilities,2.3,546,22
"Professional, Scientific, and Technical Services",2.1,9708,54
Mining,2,660,21
Wholesale Trade,1.8,5934,42
Construction,1.1,7639,23
Manufacturing,1.1,12852,31
Management of Companies and Enterprises,1.1,2447,55
"Agriculture, Forestry, Fishing and Hunting",.5,55,11
Average,39.88132015355416,116441,
